Name,Property Title,Price,Location,Total_Area,Price_per_SQFT,Description,Baths,Balcony
Property_24,3 BHK,10300000.0,Bellandur,1767.0,5829.088851160159,Super built-up  Area,3.0,Yes
Property_25,1 RK,2525000.0, Thanisandra,510.0,4950.980392156863,Super built-up  Area,1.0,No
Property_26,3 BHK,5600000.0,Mangammanapalya,1250.0,4480.0,Super built-up  Area,3.0,Yes
Property_27,2 BHK,2310000.0,Electronic City,660.0,3500.0,Super built-up  Area,1.0,Yes
Property_28,3 BHK,8100000.0,Whitefield,1610.0,5031.055900621118,Built-up  Area,3.0,Yes
Property_29,2 BHK,4877000.0,Ramagondanahalli,1151.0,4237.185056472633,Super built-up  Area,2.0,Yes
Property_30,3 BHK,4700000.0,Electronic City,1025.0,4585.365853658536,Super built-up  Area,2.0,Yes
Property_31,4 BHK,18600000.0,Yelahanka,2475.0,7515.151515151515,Super built-up  Area,4.0,No
Property_32,3 BHK,3500000.0,Bisuvanahalli,1075.0,3255.813953488372,Super built-up  Area,2.0,Yes
Property_33,3 BHK,12300000.0,Hebbal,1760.0,6988.636363636364,Super built-up  Area,2.0,Yes
Property_34,3 BHK,5739000.0,Raja Rajeshwari Nagar,1693.0,3389.84051978736,Super built-up  Area,3.0,Yes
Property_35,3 BHK,12500000.0,Kasturi Nagar,1925.0,6493.506493506494,Built-up  Area,3.0,No
Property_36,2 BHK,3600000.0,Kanakpura Road,700.0,5142.857142857143,Super built-up  Area,2.0,Yes
Property_37,2 BHK,4550000.0,Electronics City Phase 1,1070.0,4252.336448598131,Super built-up  Area,2.0,Yes
Property_38,3 BHK,12500000.0,Kundalahalli,1724.0,7250.580046403712,Super built-up  Area,3.0,Yes
Property_39,3 BHK,5612000.0,Chikkalasandra,1290.0,4350.387596899225,Super built-up  Area,2.0,Yes
Property_40,2 BHK,4500000.0,Uttarahalli,1143.0,3937.0078740157483,Built-up  Area,2.0,Yes
Property_41,2 BHK,8100000.0,Murugeshpalya,1296.0,6250.0,Built-up  Area,2.0,No
Property_42,3 BHK,3800000.0,Sarjapur  Road,1254.0,3030.3030303030305,Super built-up  Area,3.0,Yes
Property_43,1 BHK,3800000.0,Ganga Nagar,600.0,6333.333333333333,Super built-up  Area,1.0,No
Property_44,1 Bedroom,4800000.0,Yelahanka,660.0,7272.727272727273,Plot  Area,1.0,No
Property_45,2 BHK,9179000.0,Kanakpura Road,1330.74,6897.665960292769,Super built-up  Area,2.0,Yes
Property_46,8 Bedroom,20000000.0,HSR Layout,600.0,33333.333333333336,Plot  Area,9.0,No
Property_47,2 BHK,3300000.0,Doddathoguru,970.0,3402.061855670103,Super built-up  Area,2.0,No
Property_48,2 BHK,9482000.0,Whitefield,1459.0,6498.971898560658,Super built-up  Area,2.0,Yes
Property_49,2 Bedroom,13000000.0,KR Puram,800.0,16250.0,Plot  Area,1.0,Yes
Property_50,2 BHK,3600000.0,Himagiri Meadows,869.0,4142.692750287687,Built-up  Area,2.0,Yes
Property_51,2 BHK,5000000.0,Adarsh Nagar,1270.0,3937.0078740157483,Super built-up  Area,2.0,Yes
Property_52,3 BHK,9900000.0,Bhoganhalli,1670.0,5928.143712574851,Super built-up  Area,3.0,Yes
Property_53,3 BHK,9100000.0,Whitefield,2010.0,4527.363184079602,Built-up  Area,3.0,Yes
Property_54,2 BHK,7500000.0,Lakshminarayana Pura,1185.0,6329.113924050633,Super built-up  Area,2.0,Yes
Property_55,3 BHK,7500000.0,Yelahanka,1600.0,4687.5,Super built-up  Area,2.0,Yes
Property_56,2 BHK,4400000.0,Begur Road,1200.0,3666.6666666666665,Super built-up  Area,2.0,Yes
Property_58,2 BHK,18500000.0,Ramakrishnappa Layout,1500.0,12333.333333333334,Super built-up  Area,2.0,Yes
Property_59,6 Bedroom,15000000.0,Murugeshpalya,1407.0,10660.980810234541,Plot  Area,4.0,Yes
Property_60,2 BHK,4500000.0,Govindaraja Nagar Ward,840.0,5357.142857142857,Super built-up  Area,2.0,Yes
Property_61,3 Bedroom,24000000.0,Tharabanahalli,4395.0,5460.750853242321,Plot  Area,3.0,Yes
Property_62,2 BHK,5500000.0,Ganga Nagar,845.0,6508.87573964497,Super built-up  Area,2.0,Yes
Property_63,4 Bedroom,65000000.0,Whitefield,5700.0,11403.508771929824,Plot  Area,5.0,Yes
Property_64,2 BHK,4400000.0,Varthur,1160.0,3793.103448275862,Built-up  Area,2.0,Yes
Property_65,8 Bedroom,14000000.0,Bommanahalli,3000.0,4666.666666666667,Built-up  Area,8.0,No
Property_66,2 BHK,6200000.0,Doddathoguru,1100.0,5636.363636363636,Super built-up  Area,2.0,Yes
Property_67,2 BHK,4300000.0,Gunjur,1140.0,3771.9298245614036,Super built-up  Area,2.0,Yes
Property_68,2 BHK,5700000.0,Marathahalli,1220.0,4672.131147540984,Super built-up  Area,2.0,Yes
Property_69,8 Bedroom,8500000.0,Devarachikkanahalli,1350.0,6296.2962962962965,Plot  Area,7.0,No
Property_70,2 BHK,3668000.0,Kanakpura Road,1005.0,3649.7512437810947,Super built-up  Area,2.0,Yes
Property_71,3 Bedroom,10000000.0,Double Road,500.0,20000.0,Plot  Area,3.0,Yes
Property_72,2 BHK,8058000.0,Begur Road,1358.0,5933.726067746687,Super built-up  Area,2.0,Yes
Property_73,3 BHK,10100000.0,Hegde Nagar,1569.0,6437.221159974506,Super built-up  Area,3.0,Yes
Property_74,2 BHK,7000000.0,Haralur Road,1240.0,5645.1612903225805,Super built-up  Area,2.0,Yes
Property_75,3 BHK,14000000.0,Hennur Road,2089.0,6701.771182383915,Super built-up  Area,3.0,Yes
Property_76,2 BHK,4823000.0,Kothannur,1206.0,3999.1708126036483,Super built-up  Area,2.0,Yes
Property_77,2 BHK,4000000.0,Kalena Agrahara,1150.0,3478.2608695652175,Super built-up  Area,2.0,Yes
Property_78,3 BHK,20500000.0,Cholanayakanahalli,2511.0,8164.078056551175,Built-up  Area,3.0,Yes
Property_79,2 BHK,2200000.0,Kaval Byrasandra,460.0,4782.608695652174,Built-up  Area,1.0,No
Property_80,6 Bedroom,25000000.0,ISRO Layout,4400.0,5681.818181818182,Built-up  Area,6.0,Yes
Property_81,3 BHK,10500000.0,Kodanda Reddy Layout,1660.0,6325.301204819277,Super built-up  Area,2.0,Yes
Property_83,2 BHK,7800000.0,Yelahanka,1326.0,5882.35294117647,Super built-up  Area,2.0,Yes
Property_84,3 BHK,6080000.0,Garudachar Palya,1325.0,4588.679245283019,Super built-up  Area,2.0,Yes
Property_85,3 BHK,10200000.0,EPIP Zone,1499.0,6804.536357571715,Super built-up  Area,5.0,Yes
Property_86,6 Bedroom,21000000.0,Hegde Nagar,3000.0,7000.0,Built-up  Area,7.0,Yes
Property_87,3 BHK,8800000.0,Kanakpura Road,1665.0,5285.285285285286,Super built-up  Area,3.0,Yes
Property_88,2 BHK,3700000.0,Dasanapura,708.0,5225.988700564972,Super built-up  Area,2.0,Yes
Property_89,2 BHK,5806000.0,Kasavanhalli,1060.0,5477.358490566037,Super built-up  Area,2.0,Yes
Property_90,6 Bedroom,16000000.0,Rajaji Nagar,710.0,22535.211267605635,Plot  Area,6.0,Yes
Property_91,2 BHK,7000000.0,Sanjay nagar,1000.0,7000.0,Built-up  Area,2.0,Yes
Property_92,2 BHK,2888000.0,Electronic City,1000.0,2888.0,Super built-up  Area,2.0,Yes
Property_93,3 BHK,7000000.0, Mysore Highway,1450.0,4827.586206896552,Super built-up  Area,2.0,Yes
Property_94,4 Bedroom,15500000.0,ISRO Layout,1200.0,12916.666666666666,Plot  Area,4.0,Yes
Property_95,2 BHK,8000000.0,Thanisandra,1296.0,6172.83950617284,Super built-up  Area,2.0,Yes
Property_96,3 BHK,9000000.0,Domlur,1540.0,5844.1558441558445,Super built-up  Area,3.0,Yes
Property_97,4 Bedroom,24500000.0,Kengeri,2894.0,8465.791292328957,Plot  Area,4.0,Yes
Property_98,3 BHK,4800000.0,Sarjapura - Attibele Road,1330.0,3609.0225563909776,Super built-up  Area,2.0,Yes
Property_99,2 BHK,6500000.0,Devasthanagalu,1200.0,5416.666666666667,Built-up  Area,2.0,Yes
Property_100,3 Bedroom,9000000.0,T Dasarahalli,1200.0,7500.0,Built-up  Area,3.0,Yes
Property_101,3 BHK,13800000.0,Yeshwanthpur,2502.0,5515.587529976019,Super built-up  Area,3.0,Yes
Property_102,2 BHK,1700000.0,Chandapura,650.0,2615.3846153846152,Built-up  Area,1.0,Yes
Property_103,3 Bedroom,15000000.0,Kothanur,2400.0,6250.0,Plot  Area,2.0,Yes
Property_104,2 BHK,4300000.0,Green View Layout,1007.0,4270.109235352532,Super built-up  Area,2.0,Yes
Property_105,2 BHK,5000000.0,Shantiniketan Layout,1200.0,4166.666666666667,Super built-up  Area,2.0,Yes
Property_106,2 BHK,4990000.0,Peenya,966.0,5165.631469979296,Super built-up  Area,2.0,Yes
Property_107,3 BHK,9800000.0,Nagarbhavi,1630.0,6012.269938650306,Built-up  Area,2.0,Yes
Property_108,3 BHK,22900000.0,Rajaji Nagar,1640.0,13963.414634146342,Built-up  Area,3.0,Yes
Property_109,2 BHK,5568000.0,Jalahalli West,782.0,7120.204603580562,Built-up  Area,2.0,Yes
Property_110,2 BHK,6678000.0,Devanahalli,1260.0,5300.0,Super built-up  Area,2.0,Yes
Property_111,3 BHK,12000000.0,Lakshmiamma Garden,1800.0,6666.666666666667,Super built-up  Area,3.0,Yes
Property_112,3 BHK,7500000.0,Byatarayanapura,1413.0,5307.855626326964,Super built-up  Area,2.0,Yes
Property_113,2 BHK,5191000.0,Whitefield,1116.0,4651.433691756272,Super built-up  Area,2.0,Yes
Property_114,3 BHK,4590000.0,Electronic City,1530.0,3000.0,Super built-up  Area,2.0,Yes
Property_115,4 Bedroom,22500000.0,Ramamurthy Nagar,3700.0,6081.081081081081,Built-up  Area,4.0,Yes
Property_116,3 Bedroom,14000000.0,Sarjapur  Road,2497.0,5606.728073688426,Built-up  Area,3.0,Yes
Property_117,3 BHK,6400000.0,Kengeri,1540.0,4155.8441558441555,Super built-up  Area,2.0,Yes
Property_118,3 BHK,7475000.0,Thanisandra,1436.0,5205.431754874652,Super built-up  Area,3.0,Yes
Property_119,2 BHK,7500000.0,Malleshwaram,1100.0,6818.181818181818,Super built-up  Area,2.0,Yes
Property_120,2 Bedroom,2300000.0,Hennur Road,276.0,8333.333333333334,Plot  Area,3.0,Yes
Property_121,3 BHK,12000000.0,Thanisandra,1427.0,8409.250175192712,Super built-up  Area,3.0,Yes
Property_122,3 BHK,20000000.0,Akshaya Nagar,2061.0,9704.02717127608,Super built-up  Area,3.0,Yes
Property_123,4 BHK,47700000.0,Hebbal,5611.5,8500.400962309543,Super built-up  Area,4.0,No
Property_124,4 BHK,15000000.0,Shampura,2650.0,5660.377358490566,Built-up  Area,4.0,Yes
Property_125,3 BHK,6852000.0,Devanahalli,1282.0,5344.773790951638,Super built-up  Area,2.0,Yes
Property_126,2 BHK,3400000.0,Kadugodi,1050.0,3238.095238095238,Built-up  Area,2.0,Yes
Property_127,3 BHK,6500000.0,LB Shastri Nagar,1600.0,4062.5,Built-up  Area,3.0,Yes
Property_128,2 BHK,5400000.0,Vajarahalli,945.0,5714.285714285715,Super built-up  Area,2.0,Yes
Property_129,2 BHK,7800000.0,Hormavu,1500.0,5200.0,Super built-up  Area,2.0,Yes
Property_130,7 Bedroom,11500000.0,Vishwapriya Layout,950.0,12105.263157894737,Plot  Area,7.0,No
Property_131,3 BHK,11000000.0,Peenya,1870.0,5882.35294117647,Built-up  Area,3.0,Yes
Property_132,3 Bedroom,7500000.0,Sarjapur,1600.0,4687.5,Plot  Area,3.0,Yes
Property_133,2 BHK,1650000.0,Electronic City,880.0,1875.0,Super built-up  Area,1.0,Yes
Property_134,4 Bedroom,21000000.0,Ramaswamy Palya - Kammanahalli Main Road,1200.0,17500.0,Plot  Area,4.0,No
Property_135,3 BHK,8300000.0,Kudlu Gate,1535.0,5407.166123778502,Super built-up  Area,3.0,Yes
Property_136,2 BHK,5700000.0,Kanakpura Road,950.0,6000.0,Built-up  Area,2.0,Yes
Property_137,2 BHK,6500000.0,Devanahalli,1360.0,4779.411764705882,Super built-up  Area,2.0,Yes
Property_138,2 BHK,5400500.0,8th Phase JP Nagar,1073.5,5030.740568234746,Super built-up  Area,2.0,No
Property_139,3 BHK,5040000.0,Bommasandra Industrial Area,1280.0,3937.5,Super built-up  Area,3.0,Yes
Property_140,3 BHK,8505000.0,Chandra Layout,1260.0,6750.0,Super built-up  Area,2.0,Yes
Property_141,8 Bedroom,25000000.0,Hennur Road,5000.0,5000.0,Built-up  Area,8.0,No
Property_142,5 BHK,21300000.0,Yelahanka,3050.0,6983.606557377049,Super built-up  Area,5.0,Yes
Property_143,3 BHK,10500000.0,Kasavanhalli,1563.05,6717.635392341896,Super built-up  Area,3.0,Yes
Property_144,2 BHK,6000000.0,ISRO Layout,1000.0,6000.0,Super built-up  Area,2.0,Yes
Property_145,2 BHK,4376000.0,Anandapura,1167.0,3749.7857754927163,Super built-up  Area,2.0,Yes
Property_146,7 BHK,22500000.0,Vishveshwarya Layout,4000.0,5625.0,Super built-up  Area,7.0,Yes
Property_147,3 BHK,11000000.0,Kothanur,1828.0,6017.505470459519,Super built-up  Area,3.0,No
Property_148,2 BHK,3500000.0,Kengeri Satellite Town,890.0,3932.5842696629215,Super built-up  Area,2.0,Yes
Property_149,3 BHK,4674000.0,Basavanapura,1612.0,2899.5037220843674,Super built-up  Area,3.0,Yes
Property_150,6 Bedroom,18500000.0,Dinnur,1034.0,17891.682785299807,Plot  Area,5.0,No
Property_151,3 BHK,9131000.0,Mysore Road,1710.0,5339.766081871345,Super built-up  Area,4.0,Yes
Property_152,2 BHK,5800000.0,Kannamangala,957.0,6060.606060606061,Super built-up  Area,2.0,Yes
Property_153,3 BHK,4400000.0, Devarachikkanahalli,1250.0,3520.0,Super built-up  Area,2.0,Yes
Property_154,3 BHK,23500000.0,Sanjeevini Nagar,2795.0,8407.871198568873,Super built-up  Area,4.0,No
Property_155,2 BHK,5000000.0,Hulimavu,1125.0,4444.444444444444,Super built-up  Area,2.0,Yes
Property_156,2 BHK,3060000.0,Electronic City Phase II,1020.0,3000.0,Super built-up  Area,2.0,Yes
Property_157,2 BHK,5000000.0,Kalena Agrahara,1200.0,4166.666666666667,Super built-up  Area,2.0,Yes
Property_158,3 BHK,13500000.0,Thanisandra,1735.0,7780.979827089337,Super built-up  Area,3.0,Yes
Property_159,3 BHK,14500000.0,Thanisandra,2050.0,7073.170731707317,Super built-up  Area,3.0,Yes
Property_160,4 Bedroom,76000000.0,Mahalakshmi Layout,3750.0,20266.666666666668,Plot  Area,4.0,No
Property_161,3 BHK,4800000.0,Yarandahalli,1350.0,3555.5555555555557,Built-up  Area,2.0,Yes
Property_162,2 BHK,3200000.0,Hosa Road,1063.0,3010.348071495767,Super built-up  Area,2.0,Yes
Property_163,3 BHK,15000000.0,Keshava Nagar,1904.0,7878.151260504202,Super built-up  Area,3.0,Yes
Property_164,4 Bedroom,42000000.0,Whitefield,4200.0,10000.0,Built-up  Area,4.0,Yes
Property_165,3 BHK,17500000.0,RMV Extension,2000.0,8750.0,Super built-up  Area,3.0,Yes
Property_166,2 BHK,4349000.0,Sarjapur,1242.5,3500.201207243461,Super built-up  Area,2.0,No
Property_167,3 BHK,7500000.0,Tejaswini Nagar,1425.0,5263.1578947368425,Super built-up  Area,2.0,Yes
Property_168,3 BHK,6450000.0,Electronic City,1500.0,4300.0,Super built-up  Area,2.0,Yes
Property_169,2 BHK,6000000.0,Electronic City,1060.0,5660.377358490566,Built-up  Area,2.0,Yes
Property_170,3 BHK,7000000.0,Jai Bheema Nagar,1470.0,4761.9047619047615,Built-up  Area,2.0,Yes
Property_171,6 BHK,9900000.0,Kothnur Narayanapura,1300.0,7615.384615384615,Super built-up  Area,6.0,No
Property_172,1 BHK,1100000.0,Attibele,450.0,2444.4444444444443,Super built-up  Area,1.0,Yes
Property_173,2 BHK,6450000.0,Electronic City,1152.0,5598.958333333333,Super built-up  Area,2.0,Yes
Property_174,3 BHK,5600000.0,Electronic City,1350.0,4148.148148148148,Super built-up  Area,2.0,Yes
Property_175,3 BHK,6500000.0,CV Raman Nagar,1550.0,4193.548387096775,Super built-up  Area,3.0,Yes
Property_176,3 Bedroom,10000000.0,CHIKKATIRUPATHI,1500.0,6666.666666666667,Plot  Area,3.0,Yes
Property_177,5 Bedroom,8500000.0,Kumaraswami Layout,600.0,14166.666666666666,Plot  Area,3.0,Yes
Property_178,1 Bedroom,1400000.0,Nagavara,400.0,3500.0,Plot  Area,1.0,No
Property_179,1 BHK,6700000.0,Malleshwaram,705.0,9503.54609929078,Super built-up  Area,1.0,Yes
Property_180,2 BHK,3600000.0,Electronic City,770.0,4675.324675324675,Built-up  Area,1.0,Yes
Property_181,2 BHK,5100000.0,Hulimavu,1242.0,4106.280193236715,Super built-up  Area,2.0,Yes
Property_182,3 BHK,15500000.0,Hebbal Kempapura,1700.0,9117.64705882353,Super built-up  Area,3.0,Yes
Property_183,3 BHK,14500000.0,Thanisandra,2144.0,6763.059701492537,Super built-up  Area,3.0,Yes
Property_184,3 BHK,11000000.0,Vijayanagar,1704.0,6455.399061032864,Super built-up  Area,3.0,Yes
Property_185,2 BHK,5200000.0,Electronic City,1070.0,4859.813084112149,Super built-up  Area,2.0,Yes
Property_186,3 Bedroom,30000000.0,8th block Koramangala,1846.0,16251.354279523293,Plot  Area,3.0,Yes
Property_187,2 BHK,5570000.0,Jakkuru Layout,1340.0,4156.7164179104475,Super built-up  Area,2.0,Yes
Property_188,2 BHK,4600000.0,Electronic City,1025.0,4487.804878048781,Built-up  Area,2.0,Yes
Property_189,2 BHK,5680000.0,KR Puram,1277.5,4446.183953033268,Super built-up  Area,2.0,No
Property_190,2 BHK,5200000.0,Marathahalli,1200.0,4333.333333333333,Super built-up  Area,2.0,Yes
Property_191,4 Bedroom,11000000.0,Kanakpura Road,2250.0,4888.888888888889,Built-up  Area,4.0,Yes
Property_192,3 BHK,8000000.0,Pattandur Agrahara,1550.0,5161.290322580645,Super built-up  Area,2.0,Yes
Property_193,4 Bedroom,32500000.0,Bellandur,1200.0,27083.333333333332,Plot  Area,5.0,No
Property_194,7 Bedroom,25000000.0,Ejipura,1800.0,13888.888888888889,Plot  Area,7.0,Yes
Property_195,2 BHK,6000000.0,Marathahalli,1200.0,5000.0,Super built-up  Area,2.0,Yes
Property_196,2 BHK,9800000.0,Yelahanka,1327.0,7385.079125847777,Super built-up  Area,2.0,Yes
Property_197,2 BHK,5800000.0,Kothanur,1186.0,4890.387858347386,Super built-up  Area,2.0,Yes
Property_198,3 Bedroom,11500000.0,MS Pallya,1783.0,6449.8037016264725,Built-up  Area,3.0,Yes
Property_199,3 BHK,5600000.0,HSR Layout,1400.0,4000.0,Super built-up  Area,3.0,Yes
Property_200,2 BHK,4800000.0,Nagasandra,980.0,4897.959183673469,Super built-up  Area,2.0,Yes
Property_201,2 BHK,8200000.0,EPIP Zone,1285.0,6381.322957198444,Super built-up  Area,2.0,Yes
Property_202,3 BHK,7000000.0,Langford Town,912.0,7675.438596491228,Super built-up  Area,2.0,Yes
Property_203,2 BHK,4760000.0,Whitefield,1225.0,3885.714285714286,Built-up  Area,2.0,Yes
Property_204,2 BHK,5300000.0,Whitefield,1075.0,4930.232558139535,Super built-up  Area,2.0,Yes
Property_205,3 BHK,5400000.0,Kadugodi,1260.0,4285.714285714285,Built-up  Area,2.0,Yes
Property_206,3 BHK,4870000.0,Yelahanka,1282.0,3798.751950078003,Super built-up  Area,2.0,Yes
Property_207,3 BHK,8800000.0,Kogilu,1909.0,4609.743321110529,Super built-up  Area,3.0,Yes
Property_208,2 BHK,8700000.0,Panathur,1359.0,6401.766004415011,Super built-up  Area,2.0,Yes
Property_209,2 BHK,4350000.0,Nagondanahalli,1207.0,3603.976801988401,Built-up  Area,2.0,Yes
Property_210,4 Bedroom,19000000.0,Padmanabhanagar,1736.0,10944.700460829494,Plot  Area,6.0,No
Property_211,4 BHK,42800000.0,1st Block Jayanagar,2850.0,15017.543859649122,Super built-up  Area,4.0,Yes
Property_212,3 BHK,6500000.0,Kammasandra,1595.0,4075.2351097178685,Super built-up  Area,3.0,Yes
Property_213,3 BHK,8900000.0,"Off Sarjapur Road, ",1798.0,4949.944382647386,Built-up  Area,3.0,Yes
Property_214,3 BHK,7829000.000000001,Electronics City Phase 1,1475.0,5307.796610169492,Super built-up  Area,3.0,Yes
Property_215,3 BHK,10000000.0,Tala Cauvery Layout,1580.0,6329.113924050633,Super built-up  Area,3.0,Yes
Property_216,2 BHK,6500000.0,Dasarahalli,1295.0,5019.305019305019,Super built-up  Area,2.0,Yes
Property_217,6 Bedroom,14100000.0,Magadi Road,3600.0,3916.6666666666665,Built-up  Area,6.0,No
Property_218,1 BHK,2700000.0,Electronic City,589.0,4584.040747028863,Super built-up  Area,1.0,Yes
Property_219,3 BHK,7800000.0,Ngef Layout,1415.0,5512.367491166077,Super built-up  Area,3.0,Yes
Property_220,3 BHK,9829000.0,Sarjapur  Road,1787.0,5500.279798545048,Super built-up  Area,3.0,Yes
Property_221,3 BHK,12500000.0,Sarjapur  Road,1787.0,6994.963626189144,Super built-up  Area,3.0,Yes
Property_222,3 BHK,9000000.0,Koramangala,1475.0,6101.6949152542375,Super built-up  Area,2.0,Yes
Property_223,4 BHK,7550000.0,"Lakshminarayanapura, Electronic City Phase 2",2000.0,3775.0,Built-up  Area,4.0,Yes
Property_224,2 BHK,4428000.0,Sarjapur  Road,984.0,4500.0,Super built-up  Area,2.0,Yes
Property_226,3 BHK,26000000.0,Muthurayya Swamy Layout,2405.0,10810.81081081081,Super built-up  Area,4.0,Yes
Property_227,2 BHK,7200000.0,7th Phase JP Nagar,1080.0,6666.666666666667,Built-up  Area,2.0,Yes
Property_228,2 Bedroom,11500000.0,Shantiniketan Layout,1500.0,7666.666666666667,Plot  Area,2.0,Yes
Property_229,3 BHK,11900000.0,Hebbal,1900.0,6263.1578947368425,Super built-up  Area,3.0,Yes
Property_230,2 BHK,2214000.0,Dommasandra,805.0,2750.3105590062114,Super built-up  Area,2.0,Yes
Property_231,2 BHK,5640000.0,Budigere,1153.0,4891.587163920208,Super built-up  Area,2.0,Yes
Property_232,2 BHK,6000000.0,Dodda Nekkundi Extension,1148.0,5226.480836236934,Super built-up  Area,2.0,Yes
Property_233,2 BHK,5500000.0,Mylasandra,1110.0,4954.954954954955,Super built-up  Area,2.0,Yes
Property_234,2 BHK,4200000.0,Electronic City,1100.0,3818.181818181818,Built-up  Area,2.0,Yes
Property_235,2 BHK,11000000.0,Kalyan nagar,1290.0,8527.131782945737,Super built-up  Area,2.0,Yes
Property_236,3 BHK,6500000.0,Dr Shivarama Karantha Nagar,1500.0,4333.333333333333,Super built-up  Area,2.0,Yes
Property_237,2 BHK,3900000.0,Bank Of Baroda Colony,1080.0,3611.1111111111113,Super built-up  Area,2.0,Yes
Property_238,3 BHK,12900000.0,Vijayanagar,1933.0,6673.564407656492,Super built-up  Area,3.0,Yes
Property_239,5 Bedroom,15000000.0,Ramamurthy Nagar,3500.0,4285.714285714285,Built-up  Area,5.0,Yes
Property_240,2 BHK,6000000.0,Kullappa Colony,1060.0,5660.377358490566,Built-up  Area,2.0,Yes
Property_241,1 BHK,1645000.0,Chandapura,645.0,2550.3875968992247,Super built-up  Area,1.0,Yes
Property_242,8 Bedroom,18000000.0,Mukkutam Nagar,2600.0,6923.076923076923,Plot  Area,8.0,Yes
Property_243,1 BHK,1645000.0,Chandapura,645.0,2550.3875968992247,Super built-up  Area,1.0,Yes
Property_244,3 BHK,8400000.0,Ashwath Nagar,1644.0,5109.489051094891,Super built-up  Area,3.0,Yes
Property_245,2 BHK,7250000.0,Ncpr Industrial Layout,1285.0,5642.023346303502,Super built-up  Area,2.0,Yes
Property_246,3 Bedroom,9000000.0,Electronic City,1200.0,7500.0,Plot  Area,3.0,Yes
Property_247,2 BHK,4000000.0,Electronic City,910.0,4395.604395604396,Super built-up  Area,2.0,Yes
Property_248,3 BHK,7000000.0,Kothanur,1577.0,4438.807863031072,Super built-up  Area,3.0,Yes
Property_249,3 Bedroom,28000000.0,Meenakunte,4050.0,6913.580246913581,Plot  Area,3.0,Yes
Property_250,3 BHK,18500000.0,OMBR Layout,2420.0,7644.628099173554,Super built-up  Area,3.0,Yes
Property_251,2 BHK,2000000.0,Chandapura,800.0,2500.0,Super built-up  Area,1.0,Yes
Property_252,2 BHK,5500000.0,Anand Nagar,1060.0,5188.679245283019,Built-up  Area,2.0,Yes
Property_253,2 BHK,9300000.0,7th Phase JP Nagar,1270.0,7322.834645669292,Super built-up  Area,2.0,Yes
Property_254,2 BHK,2250000.0,Shree Ananth Nagar Layout,900.0,2500.0,Super built-up  Area,2.0,Yes
Property_255,2 Bedroom,6900000.0,Kundalahalli Colony,1280.0,5390.625,Built-up  Area,2.0,Yes
Property_256,4 Bedroom,9500000.0,Horamavu Agara,1200.0,7916.666666666667,Plot  Area,2.0,No
Property_257,2 BHK,3600000.0,Sarjapur  Road,1025.0,3512.1951219512193,Built-up  Area,2.0,Yes
