SquareFeet,Bedrooms,LocationRating,Price_USD
1552.4,1,5,469775
965.2,5,1,357144
1364.7,3,2,261778
1313.8,1,5,412777
1040.4,6,4,434421
1661.5,2,2,375825
968.8,4,3,314654
1111.0,6,3,392683
906.2,3,2,266327
1074.6,5,3,338953
2221.3,4,3,572362
1101.4,2,2,266882
1214.9,3,5,446532
1854.9,4,2,412257
1975.4,4,1,394831
1203.0,6,2,340889
2084.0,5,1,424761
965.1,3,2,229920
1797.0,6,2,483695
1420.4,6,2,375768
1674.0,3,3,395969
1760.0,4,5,611985
1424.7,3,3,351751
1720.4,1,3,408364
1850.7,6,4,596768
648.9,4,4,284420
1021.6,6,5,444194
1916.5,2,3,439023
499.3,5,4,275109
894.0,3,4,266147
2232.5,2,3,523005
1275.1,6,2,368052
1561.4,5,1,392916
1666.5,3,1,305614
1689.3,4,2,393556
1208.0,1,1,242094
1287.2,2,4,404123
2539.2,3,5,803665
802.2,6,4,336988
1118.0,6,1,309934
883.1,1,1,208443
1365.0,3,5,498716
1001.1,3,4,360474
2098.1,2,4,527047
2257.2,6,3,645978
1444.8,6,4,474873
953.2,6,5,454648
2374.6,5,2,533421
1082.7,6,2,331208
1572.5,1,4,405673
1645.7,2,3,441394
970.4,6,2,281565
1251.0,5,4,386306
2387.5,3,5,719214
1597.9,2,4,416179
1707.1,6,4,569616
1868.5,5,5,656867
1675.2,5,5,619904
1965.7,4,3,508387
1732.9,3,2,375142
1395.2,5,5,521070
3042.2,2,3,646819
1168.5,4,5,470516
1271.9,6,4,425742
2158.7,2,4,515966
1861.0,6,5,666462
1263.0,1,1,283682
1225.3,1,2,246139
1469.3,3,3,377678
1627.8,5,1,342871
1472.8,5,4,444335
1213.1,3,5,415719
1812.0,2,3,442908
1506.0,6,3,404696
1915.5,4,3,530251
1550.3,2,2,301975
720.1,4,5,314615
1723.2,2,2,346890
1968.0,2,4,510123
1678.9,4,5,625463
690.0,2,5,266107
1627.8,5,1,358957
1250.1,5,3,394190
1515.7,4,3,387839
1734.3,6,1,405992
1365.3,5,4,492378
1803.6,5,4,572405
1728.3,4,3,461844
1665.4,5,3,468171
1309.3,3,3,336674
1987.6,4,4,540948
2225.5,3,2,500723
1484.6,1,4,391627
1252.3,5,2,361904
1292.2,4,4,458029
1891.7,2,5,624475
1546.2,5,4,497533
1377.6,3,4,419858
1127.5,2,5,363910
1693.2,4,2,389267
1804.2,2,4,477056
1460.7,6,1,370005
1634.5,4,3,427828
1746.0,5,5,634066
1958.1,6,4,604857
1058.9,3,5,378875
1140.3,6,4,443929
1295.9,1,2,287948
1511.6,2,2,320362
1264.9,1,4,353393
1356.3,1,3,308873
1856.5,2,4,521963
773.0,3,5,362317
1101.1,4,3,317335
1154.7,5,1,301612
2121.0,2,2,460381
1534.9,4,1,336817
1609.0,6,3,449095
1077.6,2,4,327163
1249.8,5,5,516194
400.0,1,5,136195
1522.1,1,2,314842
1157.1,4,3,366514
684.0,4,4,304806
1643.1,3,2,346604
1024.9,3,5,350320
1539.3,1,4,433622
1632.8,2,2,312599
2877.4,3,5,853692
1294.3,1,2,301619
1585.3,2,1,348307
1465.6,6,4,475903
1107.7,5,3,357956
1591.0,5,5,617830
1874.6,1,4,472244
1761.8,4,1,364844
1835.3,2,3,477899
1092.3,4,3,324341
1526.8,1,5,410018
693.6,6,2,266252
626.5,2,2,192389
2339.2,4,1,497487
1546.0,5,5,595179
1804.9,5,5,655183
1806.6,6,3,488559
1475.0,4,3,443111
2156.5,3,2,468833
1420.6,3,2,360218
412.0,6,4,286877
1577.5,1,3,380287
1958.2,2,4,513614
784.6,2,4,294545
1348.8,6,2,383341
2044.9,2,5,636622
1933.8,4,3,515388
1424.3,5,4,468374
1104.3,1,4,334920
1485.9,1,3,355594
1610.6,6,5,610979
1859.6,1,4,492288
1417.0,1,3,308559
2265.8,6,2,550116
1604.9,3,2,367452
1312.3,6,2,392475
1211.2,4,5,483117
1060.1,5,2,295873
1999.3,5,5,675719
1387.9,3,3,401912
400.0,1,2,161230
1293.2,4,2,399847
2102.9,2,1,390373
1257.3,2,1,248650
813.5,5,5,360728
1249.4,2,5,417298
1781.6,4,1,342487
1364.3,5,2,354593
1018.5,4,2,288077
1777.1,4,3,422455
2061.2,4,5,689026
2215.6,6,2,563716
1586.6,2,1,325449
1396.6,5,1,354256
1701.9,3,4,467704
2113.2,6,1,427206
2004.6,1,2,435978
1448.9,6,3,446302
1010.7,6,4,395849
1608.5,1,1,302863
1480.6,6,3,418418
1714.4,4,3,459534
940.8,1,5,322242
1158.8,6,2,353219
1927.2,4,5,639616
1581.2,2,1,325816
899.5,1,2,217800
2142.3,1,3,484137
1340.9,6,5,548881
1678.3,3,4,480545
1245.1,4,4,400744
1624.7,3,1,341086
2143.2,2,3,460207
2145.9,2,5,656516
2261.8,3,1,436679
1250.2,4,3,400127
1811.8,2,4,462981
653.2,3,2,168814
1651.9,3,3,402585
2414.2,4,2,543081
884.3,6,5,424641
1073.0,4,3,281232
1417.8,6,3,399731
1368.3,5,2,394148
1902.8,5,3,557902
1869.4,2,4,516736
474.4,5,5,293605
969.3,6,5,458351
1415.0,3,1,285420
1206.3,2,1,287174
1674.5,1,2,388651
1698.0,3,4,468602
400.0,1,3,144061
1338.3,5,1,313391
1069.1,5,2,326563
1554.0,3,3,392291
1830.5,5,3,475611
1391.5,2,2,322306
857.0,3,3,227505
2158.0,6,4,657318
1105.2,4,3,324965
1236.3,4,4,421134
547.4,2,4,210850
1765.7,1,3,403102
1507.8,1,3,373663
1745.7,3,2,417900
1096.0,5,1,306772
1824.8,1,4,444533
2207.8,4,4,640978
400.0,3,4,233403
1722.2,5,5,582150
768.3,1,3,173731
1725.7,1,1,368462
2035.5,6,5,741822
982.6,5,5,415098
1094.7,3,4,320280
1568.1,6,4,508947
1492.3,4,5,485679
816.1,2,3,242374
1215.9,5,1,327392
1114.3,2,4,367503
1385.8,2,3,301011
2377.2,3,2,525882
1578.6,1,4,417086
962.5,3,2,275936
1635.9,2,5,462182
1371.3,4,1,313171
2219.1,5,3,544134
1277.0,1,4,320208
1348.4,1,2,335971
2056.1,5,4,654227
1076.2,6,1,303378
904.2,3,1,171592
1635.8,3,3,399366
1584.7,6,2,468694
835.5,1,2,193423
505.0,3,4,189600
1660.6,2,5,532566
1657.4,6,2,434054
1770.6,5,3,455235
2003.8,3,3,472809
1550.0,3,1,292194
1422.7,3,1,367109
1858.8,5,4,547427
1551.0,4,2,368459
752.0,5,3,272264
1616.7,2,1,338879
1825.7,3,1,322578
1044.7,4,5,418619
2355.9,1,5,687910
1341.7,4,4,440354
2036.9,3,2,454499
1008.6,6,3,325219
1913.2,3,5,618440
2187.4,6,1,491927
1099.8,5,2,319420
1645.5,3,3,416147
1381.3,1,5,465803
987.2,2,4,325002
1556.2,5,2,383543
1338.2,4,1,301034
1368.4,5,5,541178
915.8,4,4,305832
1928.1,1,4,493887
1290.2,6,4,473242
1352.0,3,3,333441
977.4,3,3,306705
2039.4,3,5,674794
844.9,6,3,268289
697.5,5,4,318956
1570.0,3,2,404276
1251.8,5,1,310769
1813.6,1,2,341973
2275.4,5,1,491833
2142.0,2,4,551075
1978.5,2,4,541458
1044.0,4,2,306691
2022.9,5,4,575641
1272.9,2,4,374649
929.7,6,1,250001
1771.5,1,2,334890
1284.0,4,3,385250
1421.2,6,4,494768
1837.3,4,5,563681
1889.5,3,4,546371
1347.1,5,1,296805
1568.2,2,5,505279
1961.3,3,3,470329
1138.1,3,2,312845
706.8,1,1,170575
1254.5,3,1,285272
1337.2,3,5,485013
1434.1,4,2,357314
2631.3,3,1,523340
1136.6,3,2,295747
1417.2,2,2,344798
1068.7,1,2,276335
1617.8,5,5,623518
1761.2,2,4,480407
1873.5,4,1,435062
1626.0,4,1,337665
1547.2,6,5,602352
400.0,2,3,165074
1858.0,6,3,512751
2187.8,6,1,500832
1108.7,1,5,359692
1066.8,3,5,358848
952.6,5,2,259487
1809.5,3,1,391604
935.5,5,3,293153
1437.4,5,5,550375
756.7,3,3,230706
1707.7,2,4,478830
1282.9,1,3,305709
1606.7,6,4,512001
1072.3,6,1,260737
1143.6,5,1,314218
1213.5,4,5,459416
1074.8,5,4,356014
1050.0,1,3,266286
860.2,4,3,290690
1735.8,2,4,464022
1650.3,3,4,473855
1288.9,4,3,393415
1877.3,1,2,387373
2238.8,1,5,616637
1145.9,1,2,255557
1604.9,5,2,433272
1605.4,1,1,269994
1179.4,3,3,343780
849.4,3,3,258436
2724.9,1,3,554896
1671.6,5,2,443337
1515.3,3,3,372396
1663.2,6,1,393346
2712.7,2,3,617245
1391.2,6,3,429590
1524.3,6,3,434491
1529.9,3,5,550669
2045.4,2,4,520676
1635.1,2,5,512928
724.0,6,5,409948
617.4,3,5,279451
2017.4,5,5,691037
1623.8,6,4,529220
1333.6,2,2,258760
1104.0,4,3,354258
2373.5,1,3,491543
1615.4,5,4,512117
1760.6,5,4,487783
1908.3,1,3,432081
1714.5,3,3,398379
1277.4,1,4,303410
1399.5,5,2,346044
1823.2,6,2,423087
1943.8,5,5,675993
2028.8,4,5,676719
1101.3,6,5,482660
1591.3,2,1,298281
1097.0,2,5,401045
1439.8,2,4,398121
1372.3,1,2,321399
1495.8,5,3,371311
1961.6,1,4,504764
1074.8,1,5,353027
2480.9,5,1,487628
2124.5,3,2,491622
693.3,4,4,279773
1653.9,1,1,311419
917.4,6,1,279478
1673.0,1,1,357416
781.8,5,2,247615
2073.8,3,4,572836
2096.8,3,5,695753
1258.8,1,1,240787
1580.4,1,4,439289
856.0,2,4,271961
1215.0,1,1,245941
1410.6,1,4,370464
706.0,2,5,269262
2306.2,3,2,496392
1557.6,5,5,557291
2111.5,2,1,378962
1398.1,3,2,329151
1139.1,3,4,359384
1538.0,3,5,536239
1964.0,6,5,700380
1150.0,1,1,263751
1616.4,2,5,484928
1192.9,4,3,324222
420.1,3,5,238191
1307.2,4,5,518553
1551.9,3,1,306271
1488.5,5,1,384144
1344.6,3,2,342402
1533.5,3,5,531838
1163.9,2,5,408789
1734.7,2,3,424676
1262.9,6,5,515228
1895.2,5,5,653932
791.9,3,2,211768
1527.9,3,4,434741
1729.5,2,3,429120
2108.0,3,3,538055
1216.5,1,2,239095
2068.2,2,5,610716
1700.9,5,4,564058
2346.0,2,3,532956
746.6,1,4,241841
1599.3,3,1,321931
1462.5,3,5,548490
1561.8,3,2,365287
1916.0,2,1,387322
2176.9,1,5,658275
1644.4,1,2,301082
676.9,4,4,235335
1290.4,3,3,331444
3057.6,6,2,687217
1002.4,5,4,373428
1569.4,1,2,353578
1843.6,2,5,550690
1977.9,3,3,455948
1177.5,5,1,273479
2201.0,5,1,490402
2089.9,2,3,503325
1698.3,6,3,453739
1021.2,2,5,378577
1198.4,6,2,337900
1146.3,6,1,273101
1355.8,1,1,259776
2165.1,3,3,516369
1622.8,3,5,562656
1786.8,5,2,437012
1554.7,4,1,370097
2238.2,1,2,480231
694.2,3,5,287039
400.0,4,2,167469
1450.5,5,3,441767
1463.0,4,1,327838
1448.2,6,4,521702
1124.6,5,1,314435
816.9,1,4,201283
1415.9,5,5,555498
1285.3,5,4,447907
1586.9,2,4,449094
1815.0,1,5,550686
2056.1,4,1,431788
1882.2,5,3,548578
1459.2,5,3,429933
1699.1,5,4,519992
885.5,5,4,338398
1053.1,5,2,302392
2326.8,2,2,515639
1994.6,5,3,499852
742.3,5,1,265385
1125.4,4,5,445973
2400.3,4,3,533298
1090.4,3,3,340594
551.9,1,5,233358
1220.1,1,5,378719
1233.2,4,2,328612
2051.5,3,4,589295
1913.1,1,3,460637
1249.5,4,4,404850
1460.6,1,1,313416
1641.1,1,1,304385
1858.9,1,1,374154
1311.5,1,1,215877
1644.8,5,4,558195
2214.1,1,4,514393
1426.6,3,2,320956
1569.4,1,3,389101
1804.6,4,2,429300
1214.5,4,4,418463
1057.8,6,5,446431
1697.1,2,3,387573
1790.9,6,4,568168
1459.2,4,3,362161
1181.7,5,3,394286
1267.2,5,4,433390
1630.2,2,3,366918
911.7,5,1,254186
2023.4,5,2,483982
2282.5,5,3,596157
749.6,3,3,237756
1778.0,5,1,376804
1896.6,2,4,503801
1936.5,6,1,490405
673.9,5,3,273954
1338.1,4,2,318582
1215.8,6,4,471124
1378.2,4,3,443422
882.6,5,4,361802
2362.7,6,3,618130
1718.2,3,2,356256
991.7,1,5,326036
1224.3,5,4,394634
2200.8,4,1,455679
1449.8,1,3,287659
2139.5,5,4,645761
1837.9,4,2,388596
821.3,6,4,359454
1005.3,1,2,267933
913.4,3,3,249872
1733.2,1,5,505406
2453.2,3,1,482167
1586.6,1,5,470071
1446.3,4,2,392125
1768.5,6,4,563459
1462.2,3,1,336712
1331.4,1,4,371523
1596.6,1,3,370184
1879.7,3,5,615962
1245.3,1,2,281050
1000.5,5,1,260566
1973.8,2,2,450626
400.0,4,2,141898
838.3,6,5,459118
1504.6,1,5,430222
1943.9,3,1,416295
1601.0,1,4,468811
1213.4,3,5,481719
1903.7,1,5,515238
1107.3,6,5,490254
1832.4,2,5,574643
1274.0,5,3,424692
903.8,6,1,236457
1855.6,4,1,391516
2289.0,4,1,439056
1299.8,5,4,447809
1996.9,2,2,411814
508.5,4,4,246196
815.1,3,2,221521
1005.6,6,1,250935
1411.1,4,1,344986
1731.3,3,5,523440
879.6,6,2,300076
1021.9,4,2,278069
1894.0,3,4,547701
1062.0,2,1,285647
2175.4,5,4,593419
1118.9,2,4,318603
2063.3,6,5,733079
1889.3,4,5,622125
1523.5,3,1,339971
1592.1,1,2,333788
1546.6,3,1,307698
2048.5,5,1,414335
400.0,5,5,226876
1313.6,4,3,387784
1577.9,5,2,388098
2086.6,4,2,524426
1197.4,3,1,300640
439.4,1,1,107076
400.0,5,2,188653
1519.4,1,1,267387
826.5,5,3,291285
1366.4,4,1,301532
844.9,2,4,270488
1303.7,3,4,418517
2460.6,4,3,648052
2118.6,3,3,494768
1475.3,6,4,464246
1345.3,1,3,311162
1037.3,2,1,228877
1762.7,3,4,514491
1304.2,3,4,425470
2156.8,6,2,489778
1541.0,2,2,350304
1561.7,1,3,408963
646.7,5,2,244920
1196.6,6,4,413467
2415.8,1,4,564496
712.2,5,3,268072
1356.2,6,3,459002
1367.3,4,5,501691
1608.2,4,4,469927
1673.7,4,5,554968
1206.1,3,3,381725
1910.9,6,5,646379
1164.7,2,4,334234
1763.3,4,4,495429
698.8,4,2,223479
1088.5,1,4,301999
714.2,3,5,329436
1606.4,6,4,496502
1627.1,6,1,387100
1269.4,5,2,305785
1604.0,5,1,324187
877.6,4,2,251640
2088.4,2,5,651765
1918.4,2,2,429235
1000.5,6,5,473882
872.0,3,5,348182
1225.0,6,4,455774
1585.7,1,4,405845
1530.4,2,4,403518
941.2,2,3,236779
1258.9,1,2,268569
1636.8,3,2,358821
1270.0,4,1,339002
1523.3,3,4,431513
1968.2,4,4,521599
1160.9,6,1,329617
1922.6,3,5,641748
1454.4,5,3,422071
1414.1,4,3,392536
801.6,6,5,402943
1869.8,2,5,576210
2464.4,1,4,609542
966.6,4,5,400728
1020.8,2,5,355786
2265.7,5,3,533642
1815.0,1,3,384697
1155.0,1,3,285488
2337.7,5,3,566684
1269.9,3,2,289725
1513.7,2,3,389264
1668.7,1,1,270410
1880.3,4,2,412980
1720.5,4,4,528554
2532.0,4,4,676743
2186.4,2,5,662804
2285.2,4,4,574056
1169.1,6,1,336561
1661.8,1,3,404593
2342.2,6,2,558067
1301.5,3,5,432290
1305.5,3,5,500101
1961.2,2,2,474808
1734.1,3,3,476727
1490.6,5,3,447741
1636.6,2,1,327349
589.3,5,5,317657
1332.6,1,3,349070
1075.3,5,1,278095
2302.0,2,4,525336
1410.9,1,5,437405
1542.3,6,2,410284
2050.8,6,2,489986
2276.1,4,4,659834
1633.4,6,3,457837
1074.2,5,3,349424
1225.7,4,4,341562
1647.0,1,1,283600
1661.5,2,5,521145
1095.4,5,3,297450
469.5,6,4,253702
689.2,3,1,205023
907.0,3,4,297819
1390.3,3,1,335730
1341.0,3,4,414102
668.4,6,4,290640
1377.9,1,2,329024
2333.3,1,5,694621
1678.1,4,5,592190
2500.9,3,1,505270
1502.4,2,1,278389
1487.1,5,3,432073
1641.4,1,2,323806
2410.4,1,2,500049
2286.4,2,5,662071
1879.1,4,2,443249
1713.8,4,2,437486
1071.1,6,1,289954
829.2,5,3,328429
1276.5,2,5,413183
2265.6,2,3,491230
2393.1,1,3,532956
695.4,2,5,273879
2174.8,6,4,690966
2413.5,2,1,428998
2124.3,2,1,427310
1273.4,1,1,250924
1910.6,5,4,603879
729.1,6,1,222150
799.0,5,1,228364
2750.6,1,2,544493
1273.0,6,4,488200
931.0,4,5,403101
1323.1,4,4,388847
2434.0,6,2,554917
2083.3,3,1,409952
1169.1,2,1,230485
1468.9,1,1,323395
1751.5,3,4,481394
1842.1,5,3,467121
1759.3,6,3,486706
1031.8,4,4,374533
1391.3,4,5,502855
953.4,2,2,277005
1984.8,5,3,489811
1460.0,2,2,322358
1675.8,6,2,504505
1175.1,5,5,494847
1828.1,1,4,452933
1845.2,6,4,546037
795.7,3,5,306180
1905.3,6,2,480831
930.2,5,2,315509
1167.9,6,1,285673
1968.5,6,3,513101
1183.9,1,3,283551
1568.8,2,3,426975
1463.7,5,4,507763
790.8,5,1,190816
2217.1,4,4,622708
2223.6,6,3,602899
1742.5,4,2,413917
1361.1,3,4,382470
1559.2,1,2,352131
2180.7,5,2,529201
1252.4,1,3,335840
1298.1,6,3,413155
1401.4,2,2,307063
421.6,6,3,246311
1862.5,1,4,459031
1611.0,4,3,452864
1929.6,3,2,473815
1279.4,5,5,481529
791.2,6,2,260227
1583.9,6,5,653276
934.1,6,3,357334
1801.7,4,1,383950
1844.3,6,1,385673
2586.0,4,3,617710
2219.2,4,4,619515
1653.4,4,4,485683
1389.3,4,5,514468
1958.5,1,1,313887
1669.0,6,5,638677
1282.1,6,4,468006
484.7,4,2,177713
2666.7,4,2,612399
2051.4,1,2,397172
1839.3,3,3,468806
1547.2,4,1,375879
2466.9,2,2,525749
1961.5,1,1,327244
820.7,6,5,459096
1388.9,5,3,404342
1894.8,1,5,586774
2120.4,5,5,732646
1370.1,3,1,327524
2280.5,4,4,663544
851.5,5,5,388702
1387.2,2,4,386393
1408.1,4,1,333643
1991.3,3,1,388812
2168.0,3,1,450762
2155.9,5,2,544796
820.7,5,4,345156
1587.6,5,5,579304
749.6,1,4,250646
1535.0,2,3,407743
2349.1,4,4,648005
2528.4,1,3,532344
1756.1,3,3,413664
1661.5,5,2,396254
1429.7,3,1,312088
1505.4,4,1,359501
2243.5,1,1,372652
1082.8,2,1,254258
1380.7,5,3,427545
1522.9,5,2,437299
1158.7,2,3,292254
1764.6,3,2,441870
2286.2,2,2,482551
1825.7,5,2,440380
1158.4,1,1,211293
1132.8,3,5,413989
870.7,3,4,274893
1449.7,6,5,571190
1087.6,4,2,281430
1624.7,5,2,367377
1152.2,2,3,312315
798.8,6,2,290927
532.2,6,5,329828
1814.4,4,2,440807
805.3,2,1,201006
1748.2,6,3,464844
1174.6,5,4,422843
1630.8,6,3,482212
1475.9,5,3,417070
1573.9,1,5,435930
1977.2,2,3,543032
1145.7,6,1,298338
2243.7,1,4,551539
1881.7,3,2,429136
1331.0,2,4,371995
1383.4,4,1,295972
1556.7,3,1,356140
1285.7,4,5,446010
629.3,4,1,171450
1008.8,4,4,337628
1007.1,1,1,215206
1400.3,3,3,403923
889.9,2,5,299263
1913.7,2,1,369155
1563.2,3,3,358257
1291.1,3,5,436667
1089.2,4,3,323453
1508.7,5,3,436553
1968.2,1,4,445402
558.1,6,5,312383
748.0,4,3,273741
982.8,3,4,343661
842.1,3,5,325078
773.8,6,5,387969
1502.7,4,3,391886
1479.1,1,2,346207
1309.0,2,2,318925
1598.5,6,5,656220
1458.5,1,4,420082
1118.7,2,2,264788
1282.1,1,3,300584
1606.1,5,2,412522
890.5,5,4,348690
1646.5,4,3,454082
400.0,3,4,206381
1482.5,1,4,421355
1657.9,1,4,413444
1015.8,5,3,343119
2031.4,3,2,438151
2071.7,6,1,484338
1604.3,5,2,358455
2309.4,5,1,498624
1099.1,5,5,435292
1939.9,2,3,455171
2205.8,1,2,448975
928.9,5,3,296844
1538.4,1,3,345349
760.7,6,2,281510
1917.5,1,4,485441
2333.3,4,1,477705
1226.5,5,3,399247
1483.0,5,1,343220
1244.2,1,3,323132
2746.2,5,3,650769
1045.7,4,5,473367
1043.9,1,3,227230
1778.8,1,5,515142
1455.7,1,3,368735
2756.0,5,4,787054
2493.0,3,2,543418
1808.2,6,2,462499
1965.8,2,1,358100
1865.6,4,3,446903
2022.7,6,4,641462
1761.9,2,3,439085
995.5,1,3,262199
1088.6,3,3,302954
1985.4,6,1,488570
1249.2,5,5,513010
2171.0,4,5,718409
1863.2,5,3,509558
906.7,6,1,321082
926.2,1,1,173675
847.0,1,5,271995
1892.5,5,4,579817
2082.0,2,4,549831
1305.3,2,3,350236
1497.7,2,4,421963
1660.0,6,1,411996
1937.8,6,4,638065
1325.4,6,5,542759
1716.9,6,3,534425
1463.4,1,3,341509
720.2,5,5,378580
2184.0,6,1,476578
1658.1,4,1,333708
1404.6,6,5,559089
1121.4,1,4,354334
1145.9,6,3,342388
776.9,5,2,290509
938.2,2,1,167219
1031.1,4,5,422998
1222.3,1,1,271794
2161.1,6,2,488610
1798.2,2,1,331568
1040.3,2,1,261038
703.1,1,1,143264
1041.3,5,4,379114
2222.7,1,1,395922
1831.9,2,5,541999
1409.8,6,3,437327
1491.5,6,3,480785
2072.6,3,3,507891
1488.9,6,1,396989
2632.8,3,2,551178
1541.0,3,2,368396
1034.2,2,5,389991
489.8,3,5,254411
1720.9,4,5,571088
1395.2,4,3,370098
1031.3,4,4,361587
1845.9,1,1,363304
1635.0,2,2,356245
1270.2,2,5,452016
1652.9,6,4,591081
1431.3,5,3,444033
1962.1,1,5,570844
1545.3,3,3,390882
1308.9,1,1,289218
2122.9,4,2,491074
965.7,1,4,278324
796.1,5,3,285210
1200.9,3,5,414078
607.7,2,5,230432
731.7,6,3,285586
1380.6,5,5,523119
1529.8,6,5,614510
1368.0,5,3,394569
1751.8,6,5,657772
1266.2,2,3,312706
550.9,3,2,174930
1873.4,1,2,392487
1458.5,2,1,227533
1848.6,6,3,551309
1812.8,3,1,365405
2041.2,6,3,531474
1056.9,5,5,421260
906.0,1,1,191714
1454.9,6,4,427200
1425.2,2,5,499297
2124.0,3,5,655866
1755.6,3,5,612478
1574.1,5,4,518788
892.8,6,2,296319
1147.2,1,3,299100
692.5,1,2,156748
1091.2,3,3,301046
1591.7,6,2,469911
1725.7,2,1,354624
1821.0,2,2,414882
1882.6,3,3,464423
1784.8,3,2,382736
1199.7,1,5,378708
1118.3,1,4,281975
2150.1,6,2,487629
1305.1,1,2,284113
1327.5,5,3,375832
1441.6,2,1,304014
754.4,6,5,381600
1408.5,6,4,444598
718.3,4,1,225476
1814.6,6,5,689537
1279.0,6,1,344183
1208.8,2,2,273392
541.0,4,3,248424
1660.5,6,4,542977
2696.8,5,2,607816
1214.2,1,2,279141
1475.9,5,3,392995
2289.5,3,3,545594
2685.0,4,4,729352
895.5,4,2,276155
2105.5,6,1,474746
400.0,1,2,149886
400.0,3,4,234328
605.8,4,1,182151
1314.6,2,5,390833
501.5,3,4,165160
2155.0,5,2,535553
1520.9,6,4,488841
1809.6,6,2,455590
1326.7,2,2,330461
1203.7,5,2,342157
1458.0,6,4,555774
2474.0,5,4,729293
1599.8,3,1,320747
1580.9,3,2,352692
973.8,6,1,305243
998.3,3,5,374207
1161.2,4,3,359617
1807.7,6,4,624196
1662.8,3,4,448500
511.9,4,3,187843
1723.9,1,2,321728
1859.7,2,5,546499
1794.8,5,4,534895
1785.1,5,4,544081
1797.8,1,3,396319
1683.5,6,2,445656
832.5,5,4,330401
1983.9,3,3,508512
2361.0,4,5,841070
2133.1,6,1,465807
1637.1,6,2,420416
1463.1,6,3,420940
1186.3,3,2,256563
562.9,1,1,119071
1983.4,4,4,576796
758.7,5,5,369425
1320.6,3,3,397114
1309.8,3,3,363287
2128.2,4,4,636290
1832.2,5,4,551716
1192.7,3,2,259622
1443.3,6,5,596792
1396.0,5,1,356203
1811.9,6,2,438497
994.7,4,2,232261
1647.2,5,4,478105
1398.5,2,1,310700
2725.2,2,1,503759
1105.2,6,2,333795
2112.1,5,4,643246
1288.5,3,5,451683
1454.8,6,2,357158
2178.3,4,3,528340
1775.0,2,5,630230
1445.4,3,3,409506
1324.3,5,3,403177
2196.6,6,5,755501
1322.5,6,3,425106
1321.6,4,1,332849
1161.1,5,5,487437
2405.1,3,2,517022
872.3,5,5,392850
1644.2,4,1,386551
1668.1,5,3,462950
901.4,6,1,265239
1365.1,6,4,475386
1314.3,5,2,342105
1198.4,5,5,491767
1553.3,3,4,410542
1656.9,1,4,418169
1356.5,3,1,276573
2504.1,4,2,570963
1171.5,2,1,258938
1630.2,2,4,509992
1561.2,3,3,395490
1805.1,3,1,386765
1606.5,6,3,420307
1082.1,2,5,377540
1826.3,5,4,545342
1510.9,6,2,378692
1991.3,5,1,435877
1893.2,5,2,504101
1802.2,4,3,477989
1967.8,3,4,511705
1218.7,5,3,322882
1547.8,3,3,403480
2057.2,6,5,721876
1619.1,5,3,419674
1116.6,6,2,354989
982.4,3,3,319365
1887.7,2,3,406580
1224.7,3,1,298678
1475.0,5,4,464440
2205.4,2,1,413972
1080.4,4,1,292891
2092.7,6,1,442240
1000.0,4,5,406190
2099.7,5,2,473487
1585.9,4,4,492451
