StudyHours,AttendancePct,PastGrades,FinalExamScore
10.4,85.0,56.3,71.6
5.5,79.2,74.2,76.6
1.3,91.5,50.8,65.0
9.0,76.8,57.1,76.2
8.0,65.4,55.0,69.7
13.2,87.3,82.5,86.2
6.9,72.7,99.5,75.0
1.8,76.8,81.3,71.9
4.5,81.9,70.4,66.1
8.1,65.9,79.6,79.6
8.4,71.1,83.5,79.8
13.0,93.0,60.2,89.6
6.2,78.7,62.8,65.6
4.9,100.0,76.7,74.2
6.5,90.4,53.6,74.7
8.2,95.7,70.4,83.7
11.5,88.5,65.9,82.6
3.1,77.8,35.4,63.6
2.6,86.2,40.7,55.3
18.3,81.1,71.1,87.4
3.0,100.0,61.0,64.7
2.4,74.5,54.5,55.0
11.5,84.3,74.5,92.2
3.9,84.1,76.1,66.1
3.7,93.8,93.3,86.4
12.2,93.7,51.0,83.7
2.7,96.4,61.5,60.8
17.4,83.4,100.0,100.0
21.5,100.0,61.9,86.6
3.4,100.0,71.7,77.0
2.9,72.5,84.3,60.9
8.6,67.9,51.2,64.3
13.1,83.7,70.2,89.9
3.4,89.6,54.8,56.7
6.0,93.9,82.1,86.8
8.1,97.9,72.9,95.7
2.9,84.8,55.9,52.3
15.8,86.4,52.2,69.3
3.6,69.0,49.7,45.2
10.6,77.4,28.6,59.6
11.0,88.3,73.0,88.8
9.6,85.2,66.8,80.2
5.8,74.3,72.8,54.7
7.4,84.4,77.1,75.3
6.4,90.2,87.3,75.9
2.2,76.6,57.4,47.9
2.5,87.5,61.0,58.7
14.9,82.1,59.9,80.0
9.1,99.1,76.4,79.3
7.0,95.3,58.3,68.0
7.2,54.1,90.8,66.5
1.9,93.9,68.7,72.3
8.7,81.6,91.0,78.9
21.5,77.2,71.4,90.2
8.3,81.5,71.3,83.7
4.6,85.4,54.2,68.0
6.1,87.1,52.8,50.7
10.1,84.3,71.4,78.1
14.9,76.0,60.2,85.0
16.0,85.5,84.8,99.7
5.2,89.3,88.6,73.8
6.1,88.6,48.9,62.5
17.0,94.5,74.7,97.9
6.9,96.1,71.5,73.8
10.5,100.0,73.3,81.6
9.8,82.5,53.2,72.9
12.6,100.0,76.7,98.4
13.6,100.0,54.1,86.0
21.3,77.0,52.6,89.4
12.9,80.4,51.5,74.9
10.2,74.2,81.7,65.8
4.1,74.7,82.3,67.4
18.6,83.5,32.4,73.0
6.0,67.7,72.3,56.2
12.0,64.2,65.8,74.7
9.4,88.1,75.4,76.5
13.6,77.8,58.2,56.1
4.8,100.0,39.6,63.0
8.7,73.8,52.2,71.5
4.9,83.1,76.3,79.2
8.3,68.3,73.7,69.1
10.6,90.2,42.2,69.7
7.2,71.1,70.8,60.8
5.9,91.1,69.4,62.8
17.6,79.4,71.8,93.5
4.6,100.0,47.3,62.7
4.2,90.4,68.9,78.5
6.9,100.0,65.7,70.0
1.8,74.2,63.6,69.7
9.6,94.3,86.2,76.7
12.9,77.9,41.8,67.9
17.2,95.7,76.5,94.5
8.7,100.0,46.6,73.4
13.2,86.5,67.9,86.6
4.5,87.6,51.5,64.2
6.2,83.7,77.8,62.7
5.3,70.1,59.2,72.3
4.1,72.1,47.2,60.5
4.0,83.5,73.2,65.9
4.5,70.7,75.2,63.7
5.1,94.6,65.3,73.4
6.0,95.4,56.3,89.3
9.7,100.0,35.3,55.5
2.7,82.4,80.2,69.1
9.2,86.2,76.0,81.0
8.5,100.0,68.4,59.9
9.0,78.6,30.9,53.5
13.5,83.4,57.1,82.2
9.3,79.9,58.6,75.5
11.3,76.8,37.1,66.0
3.6,81.1,33.5,53.0
12.1,80.3,57.8,85.6
9.1,82.4,54.7,78.5
6.9,92.7,75.9,64.3
5.1,78.6,40.3,49.6
17.9,85.8,65.4,94.4
9.4,100.0,76.8,99.3
3.3,99.8,63.0,80.1
12.4,73.7,75.5,80.6
12.9,75.5,74.3,73.0
2.6,84.6,64.1,76.0
13.1,79.9,84.1,82.3
3.3,80.9,72.8,72.0
4.5,90.3,63.5,65.2
2.6,97.8,66.3,71.4
8.7,67.9,80.1,80.9
12.3,84.6,94.7,88.8
7.5,92.9,59.7,69.0
5.4,76.2,61.3,67.0
11.4,84.9,73.5,82.2
5.1,81.9,55.4,64.9
13.8,72.5,89.5,79.3
11.5,55.7,64.9,61.9
15.7,85.0,68.3,93.8
7.8,80.7,58.4,65.6
0.6,80.1,55.9,59.9
3.7,72.0,54.0,63.3
11.4,93.1,49.1,67.3
22.4,79.4,67.4,92.6
14.3,76.3,71.5,86.0
7.0,85.9,52.0,53.0
12.6,91.8,37.1,69.6
4.0,86.7,86.8,74.0
4.3,93.4,28.5,55.9
21.9,86.4,60.5,84.0
5.4,100.0,61.9,81.5
10.7,95.0,75.7,90.1
3.8,85.1,78.5,81.8
6.7,77.4,78.0,75.5
6.2,71.9,65.1,66.0
7.3,86.0,55.0,62.7
3.3,80.7,43.8,53.0
15.4,93.6,78.7,84.5
17.9,77.8,30.3,74.2
6.4,87.0,61.7,61.2
8.0,84.1,61.9,69.6
9.5,85.5,54.4,52.0
12.5,86.0,95.2,68.8
9.4,93.0,69.8,84.6
8.9,86.8,51.2,56.8
5.4,81.0,46.8,56.0
2.4,71.7,46.9,53.8
2.2,92.4,47.2,64.9
5.6,79.4,62.7,71.0
8.2,82.3,58.4,74.1
5.0,80.5,97.2,76.8
2.8,74.1,74.1,60.8
11.5,76.0,61.0,74.3
13.0,83.7,47.3,80.4
4.6,80.8,64.7,61.7
3.2,75.1,50.7,39.5
2.5,90.5,65.6,63.7
1.6,94.6,65.1,80.7
2.8,88.3,71.8,56.8
17.6,86.4,53.6,93.5
10.1,60.0,82.3,54.3
10.2,79.7,76.7,70.8
7.6,92.9,80.2,87.5
10.7,83.9,81.9,78.2
13.7,88.0,68.3,85.0
8.7,93.4,60.6,75.0
4.5,95.4,93.1,96.4
10.4,90.3,59.0,69.9
9.5,98.5,59.4,89.8
11.4,78.9,55.6,68.3
17.7,85.8,82.2,95.7
26.0,82.8,75.4,100.0
7.9,71.7,61.2,70.7
6.3,81.6,62.6,60.6
12.5,84.2,71.9,80.3
21.6,87.2,53.8,88.1
4.5,93.0,53.2,77.7
8.7,74.0,78.0,64.2
18.4,100.0,73.4,85.1
8.0,72.8,76.3,67.7
1.1,85.8,87.5,71.0
14.2,80.7,52.8,75.7
8.5,70.0,70.3,64.2
4.9,91.3,62.1,62.9
13.1,86.3,64.1,81.8
21.5,94.2,71.6,95.8
22.0,66.6,83.6,100.0
8.0,69.7,44.8,59.6
3.3,81.3,79.9,64.8
4.7,96.7,34.7,41.1
9.1,87.7,55.8,77.9
12.8,79.1,45.9,68.8
16.1,87.5,36.9,84.5
6.4,93.6,71.2,67.5
5.6,87.4,86.1,69.7
7.0,83.8,57.0,71.7
7.6,80.4,52.4,66.8
10.7,81.6,74.2,75.5
12.7,81.5,28.0,64.6
7.6,94.8,65.4,74.4
7.6,70.2,29.9,56.6
5.5,87.0,51.4,71.8
18.0,89.7,57.1,81.7
7.8,83.8,42.5,63.2
5.2,94.1,58.3,85.1
6.4,86.0,61.0,76.7
6.8,89.9,73.1,79.7
6.9,82.5,45.0,63.4
18.9,100.0,85.3,100.0
9.1,72.1,46.0,58.5
15.0,72.6,97.1,93.7
3.9,68.3,67.1,66.6
2.9,100.0,49.5,53.2
15.4,94.1,55.8,79.4
7.2,95.6,47.2,91.0
25.4,64.9,58.3,91.8
7.4,97.7,65.4,78.2
17.0,85.7,90.0,97.1
8.9,80.6,66.8,60.1
7.8,87.1,44.4,62.5
7.9,91.8,75.6,81.3
3.1,58.1,92.8,64.5
7.9,89.8,74.1,81.5
8.8,93.6,53.2,62.2
4.0,75.0,76.6,73.0
5.9,100.0,75.3,88.3
10.9,83.7,38.1,65.8
12.8,73.7,88.6,78.9
2.8,95.4,43.4,57.9
3.1,100.0,68.1,65.1
10.9,81.2,84.1,71.4
14.0,86.7,70.6,97.7
13.0,100.0,52.9,71.1
4.5,79.0,68.5,81.2
10.0,72.5,68.1,80.3
9.4,72.4,45.4,75.8
11.0,59.8,77.5,72.8
18.3,66.7,78.5,82.1
3.9,88.1,67.0,63.0
16.0,100.0,63.3,91.5
12.0,97.6,64.7,80.0
9.2,87.0,67.4,71.9
19.2,88.0,74.8,100.0
6.9,99.8,69.1,79.7
9.6,67.2,53.0,82.8
17.9,84.0,62.5,81.3
5.4,75.3,81.0,66.4
4.9,82.5,69.2,60.2
5.5,63.2,62.7,62.4
10.9,94.6,33.7,76.6
7.2,91.6,57.4,78.8
3.1,100.0,54.3,80.0
1.6,82.4,35.4,60.3
11.7,90.2,51.4,72.8
5.1,94.7,46.0,67.6
19.1,67.7,48.5,88.0
6.9,84.8,72.5,69.5
6.7,89.8,58.3,62.5
4.0,68.4,47.4,57.8
6.1,88.1,74.4,74.3
11.5,85.6,90.9,93.8
7.2,92.6,71.4,70.2
5.2,95.2,77.1,78.4
4.1,80.1,50.5,57.3
15.7,82.6,79.3,87.3
9.8,74.4,70.1,75.4
6.7,88.1,70.7,59.6
10.2,75.3,72.4,72.7
2.8,82.0,67.5,62.1
2.7,100.0,50.3,65.6
12.6,80.8,78.6,77.1
4.9,83.5,40.4,59.3
16.8,82.5,83.5,83.4
12.8,81.7,81.5,84.2
8.8,77.0,40.0,43.6
4.3,56.7,45.7,56.2
8.5,75.2,65.9,57.6
10.6,63.2,47.8,58.9
24.4,96.8,74.9,100.0
10.4,70.1,100.0,90.7
7.0,74.1,43.8,60.8
3.8,82.3,39.1,55.8
12.8,100.0,75.7,96.3
3.5,84.1,59.4,56.2
6.3,84.1,56.9,68.3
5.3,62.4,49.0,49.8
5.9,100.0,65.9,50.4
24.7,95.6,45.3,100.0
6.2,85.6,81.5,70.2
21.3,95.8,48.0,82.0
6.3,63.8,57.8,59.6
8.6,96.6,59.8,64.2
7.3,69.7,86.3,64.2
5.3,80.0,71.3,59.3
9.7,96.3,59.4,73.1
11.7,100.0,74.0,75.1
17.2,87.9,57.1,92.1
10.0,100.0,71.5,75.2
7.0,93.2,61.2,73.2
9.0,79.6,59.6,73.4
17.8,88.2,71.4,97.2
6.5,100.0,67.9,76.1
6.7,68.8,68.9,68.1
6.3,84.1,64.2,59.4
9.2,100.0,69.9,89.9
9.5,81.7,53.8,69.3
11.4,85.0,62.1,71.0
9.3,74.6,74.4,95.3
16.5,94.0,71.5,96.7
9.0,85.2,53.6,78.3
24.2,100.0,51.7,89.6
8.0,71.4,55.2,70.8
10.1,77.0,61.5,71.8
3.8,100.0,46.5,49.4
4.8,97.6,58.9,66.7
6.1,73.9,72.3,64.8
2.3,100.0,99.1,81.0
13.2,95.7,51.0,76.9
10.5,90.2,61.5,73.2
1.8,78.3,64.9,48.7
7.8,94.1,72.8,82.3
4.7,98.8,51.1,67.4
9.0,79.8,52.0,74.5
10.4,61.1,84.5,63.2
10.1,100.0,0.0,62.8
4.7,98.8,51.9,74.5
12.4,86.9,73.1,74.6
6.9,72.4,91.2,80.8
5.5,94.4,43.2,68.5
8.4,83.0,63.9,72.0
5.7,73.7,73.4,77.2
5.8,68.1,75.2,84.0
8.5,94.1,59.9,77.8
10.0,97.4,48.4,69.6
21.9,100.0,66.3,98.6
9.7,87.2,59.9,82.9
14.8,86.6,43.8,74.9
11.4,90.2,100.0,93.6
7.0,87.3,58.7,65.4
9.1,79.1,62.6,73.5
13.9,73.8,57.1,90.0
14.1,84.6,78.5,89.1
14.1,100.0,72.9,97.5
15.5,92.2,64.3,79.6
4.0,78.0,72.6,83.7
12.4,84.1,45.2,69.7
6.2,81.7,69.4,74.8
40.0,91.0,83.9,100.0
8.9,87.6,73.2,75.0
7.6,91.8,63.3,95.4
10.1,87.9,63.2,73.7
5.8,76.8,50.4,62.5
12.6,95.6,48.6,66.5
18.9,100.0,32.2,85.2
3.2,80.4,71.7,66.2
6.4,75.8,60.1,61.8
4.2,89.6,68.7,74.6
7.2,99.7,62.7,85.3
11.6,87.8,64.3,70.4
8.0,91.1,88.0,80.3
1.8,68.8,47.1,44.7
5.2,79.5,50.1,50.4
12.1,92.5,83.5,100.0
7.6,75.7,78.9,81.4
1.1,83.9,57.0,44.9
5.1,84.1,58.9,69.9
12.3,77.0,63.6,63.1
5.3,90.6,54.2,58.3
11.3,92.5,77.6,86.7
4.0,98.4,52.9,72.5
7.4,93.3,68.7,83.1
2.6,78.7,58.9,64.8
6.6,90.6,56.5,74.2
8.1,86.6,78.6,83.7
3.2,94.4,72.9,79.8
9.7,99.7,75.0,82.3
3.4,73.7,27.7,42.2
10.3,86.0,83.0,87.9
6.8,93.2,77.3,92.6
9.1,85.1,88.1,81.2
2.4,94.6,64.4,68.0
13.3,66.8,40.0,72.6
5.1,80.0,100.0,89.8
13.6,95.4,55.4,90.5
7.3,75.5,35.7,55.9
5.1,86.7,53.1,74.3
21.3,74.2,70.1,100.0
7.7,100.0,61.4,71.0
8.3,72.9,46.4,58.1
2.1,83.9,73.8,84.0
9.4,85.8,83.9,93.7
5.2,84.7,55.8,60.0
4.6,81.6,77.7,69.7
12.2,89.1,81.1,79.3
6.6,87.8,46.8,51.7
9.2,82.1,88.5,77.7
16.8,76.5,70.4,88.4
5.4,84.3,62.7,78.9
8.9,100.0,52.9,53.7
6.0,84.7,64.0,67.6
14.0,77.7,74.8,85.8
9.5,71.1,60.9,71.8
12.6,77.1,66.1,85.1
17.3,69.0,65.3,89.3
3.5,69.0,67.9,53.9
8.0,78.7,54.0,79.0
24.7,74.2,68.4,100.0
9.3,83.2,66.1,76.9
4.1,89.1,59.6,61.3
2.7,93.9,58.5,48.8
6.8,74.8,51.0,65.0
11.2,100.0,80.5,81.6
5.0,98.0,79.5,74.6
9.9,84.5,55.2,69.4
3.0,81.9,57.3,56.2
14.0,86.4,57.5,74.0
8.3,89.0,56.2,58.6
10.1,91.9,51.9,78.6
2.7,70.0,78.4,63.2
9.6,75.2,65.1,71.6
7.3,83.1,82.3,92.0
14.5,84.7,53.3,68.8
9.0,87.9,88.3,81.2
14.3,78.7,68.4,85.6
4.1,95.0,63.9,74.8
6.2,81.9,87.1,75.4
18.7,100.0,61.2,93.1
8.3,78.7,57.5,49.3
5.0,94.3,36.1,51.2
3.3,83.7,51.0,64.7
16.9,82.0,77.4,87.0
0.9,72.1,60.9,55.7
5.1,80.4,59.6,68.1
6.8,71.1,79.8,77.8
6.0,77.4,70.5,64.1
14.6,79.6,44.2,70.7
19.9,91.1,72.5,88.6
11.1,89.1,76.8,85.3
7.2,87.2,68.7,62.1
2.3,73.6,80.5,71.9
6.5,100.0,53.8,66.7
14.5,99.6,70.5,89.7
8.4,94.0,58.8,74.0
10.0,64.7,51.1,73.2
8.1,81.8,57.1,74.0
6.2,79.3,54.2,61.3
7.0,73.6,70.1,71.9
13.5,83.5,68.6,74.5
5.6,84.4,65.2,59.0
5.5,86.7,77.8,87.3
4.1,70.6,70.0,60.6
11.6,84.4,59.8,76.2
5.7,92.9,67.6,73.9
6.8,75.1,60.2,77.9
4.1,82.7,45.2,72.3
2.5,86.2,61.9,63.1
6.5,75.2,78.6,69.6
2.9,91.1,48.4,50.9
14.5,73.7,70.0,75.4
7.1,65.5,75.7,71.0
12.2,100.0,72.0,77.1
13.7,78.0,86.9,94.5
12.6,80.9,55.4,78.9
1.3,64.1,100.0,62.7
8.4,100.0,93.2,89.1
6.9,88.7,66.3,72.3
3.5,70.2,60.9,54.7
7.9,78.1,80.1,83.9
6.5,81.8,61.0,79.9
8.3,70.8,38.2,58.9
21.5,75.6,47.4,87.4
12.5,95.5,81.5,84.6
7.8,78.5,64.9,84.6
11.4,86.3,62.3,77.8
6.0,86.2,76.4,93.9
12.1,80.0,58.3,70.9
9.1,75.7,21.2,58.2
2.0,89.3,62.2,61.6
6.1,71.3,58.6,61.8
14.3,85.9,55.5,85.2
8.3,90.7,72.5,77.5
5.0,86.9,47.9,71.7
15.1,73.7,60.8,82.9
13.0,70.4,62.4,74.2
10.7,93.8,53.1,83.4
14.0,95.9,66.9,83.6
1.6,81.8,48.8,58.6
5.4,74.9,41.2,51.1
9.8,81.3,55.2,81.0
12.4,74.3,83.8,89.7
7.6,86.2,76.7,78.4
4.5,87.1,43.4,57.1
5.1,86.7,77.7,81.2
9.2,79.6,50.8,61.6
3.2,84.8,65.9,65.1
4.9,81.1,48.3,57.8
8.2,69.7,74.1,66.6
9.0,98.3,56.9,79.4
9.6,79.0,69.0,76.7
3.8,67.5,83.2,79.8
10.6,89.8,61.4,79.5
6.7,96.5,80.4,78.4
7.3,79.5,53.7,66.0
8.8,83.3,64.8,74.4
9.5,90.1,59.8,73.7
5.0,100.0,71.2,87.1
11.1,84.5,43.2,61.2
9.6,77.7,47.2,78.1
11.1,80.7,37.0,55.8
7.2,82.8,59.2,77.6
15.2,68.5,64.8,70.0
15.8,80.4,44.1,79.1
7.6,66.1,50.0,64.2
7.8,96.5,91.0,84.3
4.8,65.0,66.6,68.3
4.8,87.4,56.4,62.6
7.2,73.8,64.5,75.5
8.7,77.5,74.2,73.3
7.6,77.4,85.1,76.6
1.8,77.6,63.9,65.1
10.2,100.0,61.9,78.6
8.7,90.0,54.1,58.8
3.7,90.5,61.8,50.9
7.6,91.0,97.2,90.1
5.2,83.6,84.4,87.4
5.9,78.2,70.4,77.8
3.9,76.6,92.0,69.9
9.4,89.8,56.1,69.5
11.1,76.0,58.3,69.6
6.0,86.8,63.3,72.8
18.5,78.0,75.7,100.0
6.8,60.0,53.7,61.5
15.9,83.7,55.9,73.2
2.1,86.5,71.2,73.3
6.2,77.9,66.3,81.0
8.1,87.4,35.8,59.4
5.2,88.8,66.5,79.5
1.1,90.6,24.3,31.8
17.7,86.8,42.0,86.4
15.5,86.4,53.5,67.5
13.0,89.0,65.7,80.0
3.3,81.6,65.8,66.6
9.7,62.7,70.7,83.1
16.8,74.9,82.0,87.3
7.9,78.6,92.5,79.9
7.7,80.9,55.5,68.5
4.0,93.5,64.8,55.3
3.9,86.4,76.4,80.2
8.2,85.6,61.7,78.9
22.6,82.0,48.4,87.9
14.5,75.0,68.8,85.7
2.1,87.0,81.9,73.3
18.8,88.9,72.3,100.0
9.2,93.7,49.8,70.2
7.3,76.2,71.7,74.2
2.6,100.0,64.3,72.4
7.4,95.0,46.2,73.3
9.0,72.2,62.1,55.3
21.0,87.0,50.5,83.9
13.3,90.6,73.2,92.2
6.2,96.8,82.6,81.4
12.4,82.7,60.6,78.6
12.8,98.9,63.2,83.3
2.0,80.6,61.0,65.7
5.5,89.7,61.9,63.6
6.1,90.5,44.0,71.0
20.3,90.8,59.1,86.9
9.4,91.1,80.0,84.8
12.8,78.5,82.7,76.9
4.5,77.0,59.9,61.1
7.1,78.8,44.4,72.8
8.2,74.4,95.2,85.5
3.0,77.0,52.5,58.0
13.7,93.5,72.4,100.0
3.9,74.4,58.1,58.8
8.6,85.8,81.6,84.1
21.5,89.1,72.2,100.0
13.5,82.2,81.7,80.3
5.0,95.1,79.0,70.9
4.9,70.2,73.3,70.5
7.5,77.6,77.0,78.9
4.1,98.0,61.3,78.0
2.8,83.1,83.0,70.3
8.8,85.6,77.5,71.0
9.3,71.9,65.0,64.2
5.9,71.9,81.5,76.8
6.4,86.8,68.0,86.1
3.4,97.1,92.5,85.0
10.8,73.6,67.5,79.9
8.4,89.5,65.6,74.5
11.3,93.4,61.2,72.8
19.7,76.4,59.6,86.4
3.5,91.4,59.9,67.4
5.0,99.6,60.3,67.7
14.3,93.6,46.3,81.4
4.2,78.7,48.0,68.1
8.0,80.2,62.0,72.6
9.2,93.7,63.1,87.3
6.1,96.5,35.4,57.1
17.5,72.1,66.7,79.5
9.2,91.9,43.8,82.7
5.6,76.6,52.8,73.0
11.0,67.8,65.6,87.0
7.1,73.6,55.0,49.8
22.1,91.0,51.5,90.9
9.6,72.4,72.5,78.9
1.7,86.9,96.1,70.3
8.0,79.7,75.5,63.9
12.2,73.7,79.8,96.0
11.9,90.2,66.0,74.1
6.9,73.3,57.3,64.3
4.7,91.8,36.0,46.8
1.5,88.3,62.9,57.9
11.7,72.5,80.9,60.7
25.2,93.7,42.8,100.0
1.5,76.3,60.6,66.0
6.4,98.3,75.2,89.9
13.7,95.8,64.7,92.3
21.7,73.5,69.8,100.0
7.5,84.5,87.4,83.4
6.9,78.3,60.4,57.2
7.0,92.9,66.7,96.3
14.9,74.6,85.1,85.3
5.1,93.0,72.6,62.5
16.0,93.2,53.9,94.0
8.5,100.0,67.6,95.2
7.3,93.4,87.0,82.8
11.2,77.9,71.8,79.8
14.5,100.0,53.0,94.4
12.1,97.3,52.1,74.8
7.1,78.6,65.2,61.3
11.2,78.8,60.4,83.7
1.9,86.8,85.2,73.8
6.8,96.1,74.7,90.8
9.9,80.4,85.4,88.3
15.2,75.5,59.6,76.6
6.6,78.4,63.8,68.7
4.6,90.4,74.8,68.5
5.5,69.9,67.3,60.1
7.7,86.5,81.1,85.2
8.3,78.9,57.2,73.2
12.1,100.0,88.1,99.4
4.5,71.7,58.6,55.1
7.3,75.2,46.4,66.5
11.7,65.7,53.6,70.6
4.9,93.9,69.9,61.9
10.7,75.7,68.6,83.9
5.2,100.0,70.6,77.0
2.1,87.9,82.0,82.9
4.8,66.9,86.8,68.5
2.5,80.9,64.9,59.2
9.0,81.0,65.2,68.1
6.2,68.5,44.0,57.2
7.4,97.1,69.5,86.4
7.6,80.5,70.4,87.3
11.2,98.7,31.8,62.7
10.0,65.7,70.4,63.3
10.2,88.0,87.9,93.6
