EngineSize_L,Weight_kg,Horsepower,Mileage_km_per_l
3.86,1447,173,30.54
1.22,1879,174,34.55
1.89,1592,260,34.43
4.37,1434,210,27.56
3.32,1078,173,34.69
1.06,1256,98,40.0
4.16,1661,178,28.21
1.36,1003,128,40.0
3.6,1303,131,32.36
3.07,1602,96,33.29
3.58,1458,148,32.93
3.49,2272,148,28.86
2.86,1577,218,33.25
3.61,1406,127,31.34
4.19,1238,159,29.98
3.74,1234,188,29.99
1.74,1262,169,39.87
4.55,1513,145,31.28
4.1,2232,212,21.57
1.66,1337,60,40.0
1.11,1415,222,40.0
1.07,1322,60,40.0
1.79,1296,201,38.74
3.53,931,179,33.55
1.28,1176,155,40.0
3.4,1225,210,32.47
3.49,1878,143,29.57
1.38,1014,161,40.0
1.93,1423,103,40.0
3.83,1599,144,31.85
2.42,1461,211,31.99
2.22,1068,172,37.16
3.45,1361,183,31.31
1.77,800,144,39.72
2.38,1709,140,32.56
1.76,1532,105,39.73
3.97,1067,151,32.76
1.04,1711,77,40.0
2.9,1334,110,36.64
4.72,1500,98,29.03
3.69,1407,195,29.2
3.03,1277,186,33.7
1.87,1192,194,37.46
3.23,1777,151,29.36
1.86,1362,192,39.02
4.5,1216,176,30.29
4.5,1311,94,26.8
3.89,1496,60,29.84
1.13,1452,115,39.42
4.96,1671,168,23.85
3.35,1523,230,32.98
4.69,1451,179,27.38
3.75,1518,93,26.9
1.76,1601,154,40.0
1.89,966,178,39.08
1.62,1291,183,39.95
3.28,988,136,35.42
1.88,1157,94,38.48
1.19,1345,193,38.9
4.88,1331,78,30.31
3.57,1272,171,32.98
3.14,1259,101,32.59
1.71,1027,60,40.0
4.45,1121,138,30.57
3.63,800,135,35.11
4.83,1198,102,30.03
2.2,1328,202,39.98
3.87,1329,60,32.23
1.05,1631,167,38.34
3.77,1671,173,28.88
1.24,1293,153,39.98
4.83,1260,131,29.65
2.5,1866,90,33.98
4.67,1373,132,28.77
2.98,1278,177,35.13
4.17,1466,85,29.88
2.93,1686,60,32.06
3.23,1572,114,33.55
3.63,1523,115,31.27
4.6,1374,60,29.01
1.9,1273,106,36.69
3.56,2129,225,27.2
3.76,800,193,34.43
2.3,1288,171,34.08
2.26,1444,154,32.91
1.48,1247,60,40.0
2.42,1096,199,36.49
2.62,1181,69,38.15
2.9,1212,103,36.45
3.58,1609,121,28.69
1.27,1361,146,35.3
1.06,1278,86,40.0
1.79,1491,91,36.59
4.9,868,187,31.09
4.99,1253,237,29.53
4.13,1135,127,31.24
2.64,1289,178,33.2
4.81,1025,130,29.18
4.16,1638,186,28.74
4.86,1112,167,32.08
3.04,969,168,34.48
4.64,1251,95,29.49
4.33,1262,115,29.52
3.81,1477,141,30.13
4.47,1795,124,28.54
1.34,1393,169,37.12
3.25,1547,60,33.98
1.49,1187,220,38.85
3.87,993,216,31.49
1.83,1537,165,38.6
2.41,1876,127,31.87
1.57,1257,124,40.0
3.39,1302,118,32.25
1.08,1647,160,39.8
4.32,1590,115,28.41
3.01,1251,117,36.21
1.7,1750,60,35.36
3.08,1124,144,32.92
3.8,1425,124,33.15
3.68,1047,226,32.3
3.64,1390,143,30.28
3.6,1535,60,35.2
3.22,1240,161,32.2
2.27,1338,153,33.65
2.92,1435,105,34.5
4.24,1473,241,28.64
4.29,1210,155,32.15
4.23,1889,99,29.12
2.15,1404,209,35.42
4.6,1531,149,28.5
2.67,1002,134,37.63
2.53,1483,109,33.33
4.72,1056,127,30.9
3.6,1692,65,33.11
4.79,1464,124,29.23
1.39,1201,91,39.87
2.44,1363,197,35.8
3.11,1622,142,33.38
3.15,1363,215,31.1
4.09,1256,210,30.73
3.57,1538,93,29.58
1.82,1395,146,34.93
4.15,1792,142,26.64
3.98,1856,148,24.85
1.98,963,197,38.79
1.69,1301,136,38.47
1.16,2133,146,34.28
3.6,1565,142,32.26
4.51,1649,142,28.14
3.57,1489,92,32.22
1.53,1485,112,38.39
4.69,800,60,30.82
4.27,1570,160,28.78
4.06,1868,148,26.02
4.53,1058,152,28.6
2.55,1163,214,35.22
1.67,1366,172,35.09
3.65,899,200,31.71
4.67,1276,194,29.46
1.88,1039,225,38.64
3.07,1538,205,30.28
4.43,1454,98,30.22
1.64,1298,172,38.64
2.41,1260,175,33.85
4.26,1424,162,28.43
3.57,1714,242,29.79
1.49,1229,154,40.0
3.2,1413,170,33.68
2.45,1815,138,32.84
4.91,1152,132,30.55
2.49,1711,124,33.62
3.69,1318,96,34.24
2.89,1948,162,33.02
1.58,800,226,40.0
2.42,1178,132,39.59
4.66,1466,157,28.01
1.69,1466,99,36.55
2.24,1641,60,38.59
2.92,1356,141,34.87
1.74,1789,108,35.98
3.03,1634,91,34.77
1.29,1102,60,40.0
3.61,1752,64,30.25
4.38,1507,148,28.29
4.59,1604,235,23.73
1.91,1819,113,36.5
3.62,870,167,35.59
1.05,903,93,40.0
3.58,1559,105,29.67
4.07,800,65,37.67
2.94,1350,123,36.0
3.94,1455,60,31.69
1.87,1282,89,37.1
2.18,1755,119,36.34
4.43,1458,113,29.06
1.28,2129,161,32.74
3.8,1059,175,32.93
4.06,1626,132,28.43
2.51,1611,194,33.23
3.06,1347,60,35.73
3.59,1543,176,34.4
1.42,1388,132,38.03
3.94,977,61,33.72
2.77,1458,180,34.99
4.26,1911,154,27.77
2.26,1897,113,34.69
2.08,1111,192,40.0
3.89,1428,142,28.86
3.75,1833,183,28.88
3.92,1032,158,31.99
2.27,1446,85,34.84
4.86,1132,60,31.39
2.23,1701,85,34.05
2.13,1480,155,35.25
2.51,1167,113,37.43
1.16,1271,157,38.68
2.7,1723,112,36.08
1.37,1343,60,40.0
1.96,1135,162,38.05
2.09,1604,185,34.79
1.74,1484,132,38.88
3.66,1385,127,30.43
3.74,1283,187,29.58
2.58,1487,169,34.79
1.46,1635,203,37.88
4.25,1143,188,31.02
4.38,1187,108,29.43
4.94,1496,121,30.75
4.59,1378,141,27.44
3.3,1397,128,32.43
2.42,1178,116,37.6
4.26,1590,165,27.73
3.28,1142,149,35.62
4.75,1735,114,28.19
3.86,1774,86,28.83
2.03,1826,149,30.47
2.4,2021,109,32.39
4.26,1275,113,32.49
4.91,1779,99,26.64
2.92,1215,121,36.3
2.74,977,111,36.54
1.71,1047,194,40.0
3.56,1155,127,33.72
1.23,914,68,40.0
2.9,2005,144,32.0
3.32,1336,200,33.23
1.87,1769,136,36.22
2.89,1789,131,31.25
3.88,1174,60,32.33
3.48,1434,131,31.87
1.89,984,106,40.0
1.57,1521,60,35.33
3.87,1572,88,29.75
3.19,1904,201,27.6
1.89,1367,187,37.67
2.29,1653,203,31.91
3.96,1211,142,30.17
1.9,1879,60,34.05
3.43,1603,154,31.17
2.46,982,258,37.72
1.68,1071,79,39.72
1.13,1428,60,40.0
3.4,1468,88,34.65
3.08,1254,170,33.45
3.82,1461,60,32.41
2.07,800,166,40.0
3.37,1127,118,34.91
1.1,1143,135,40.0
4.47,1732,163,28.82
3.59,1146,121,37.95
3.66,820,133,37.32
2.57,1632,142,37.26
3.93,1680,191,27.05
1.76,938,134,40.0
2.18,1361,60,38.28
1.5,951,154,40.0
3.58,1311,169,34.04
2.2,1288,261,36.36
2.3,1818,148,32.88
3.17,1747,185,29.23
4.26,1228,144,31.08
4.71,1526,149,25.7
4.29,1259,204,30.17
3.17,1557,241,33.07
4.75,1402,167,27.32
2.81,1267,205,32.75
2.29,1726,60,36.76
2.12,1358,84,35.74
2.1,1940,109,33.16
4.92,1236,159,27.71
4.29,1595,86,29.22
1.62,1114,117,40.0
3.75,1591,145,30.75
2.0,1899,191,33.29
1.72,1622,147,35.32
3.36,1919,173,30.02
2.14,1097,129,35.86
4.24,1596,110,31.74
1.25,1352,215,39.43
2.99,1062,149,36.81
4.05,1382,81,35.37
3.08,1781,130,31.53
4.34,1382,190,28.57
1.45,1585,74,38.67
1.92,1145,92,40.0
1.05,1666,88,38.89
4.44,1414,156,27.83
2.23,1382,112,36.2
4.22,1483,75,30.03
1.55,2072,78,34.9
2.71,1828,194,30.56
2.24,1113,139,37.88
3.45,1501,158,30.34
4.44,1293,129,31.68
3.42,1413,69,34.1
4.95,1267,177,32.27
1.87,1474,111,36.61
3.27,1856,162,28.6
1.94,1004,118,39.95
1.45,1300,101,40.0
2.71,1335,160,33.44
1.71,1172,116,40.0
2.89,1260,234,32.62
1.89,1051,198,39.37
2.64,1676,73,33.78
2.64,966,144,40.0
1.88,2060,127,33.04
2.83,1336,104,35.52
4.87,1129,95,27.52
3.08,1083,117,34.85
1.85,1579,213,35.69
1.59,1308,162,39.86
4.24,2018,144,25.79
1.25,1283,73,40.0
1.43,1708,60,36.14
1.3,1324,87,40.0
2.22,1158,210,36.71
4.18,1630,118,29.2
3.8,1836,111,28.85
4.59,1064,176,31.79
3.47,956,142,33.56
1.17,1314,102,38.86
1.88,800,163,39.79
1.27,1432,167,38.18
2.07,1067,254,36.98
4.7,1245,205,31.31
2.82,1395,122,33.99
1.46,1895,139,39.09
3.14,1477,74,33.15
2.74,2021,130,32.05
4.89,1704,164,25.91
4.22,1518,138,28.07
3.58,2041,81,27.95
4.82,1545,108,28.82
2.05,1492,104,33.75
2.55,1609,170,33.47
3.09,2147,168,26.6
4.68,1511,144,29.11
1.1,1391,164,37.17
4.91,864,125,28.63
3.67,1517,96,31.15
3.37,1103,128,33.84
1.79,884,144,40.0
2.86,1331,152,33.98
2.03,1857,110,31.43
3.07,1701,60,27.75
3.95,1628,149,28.79
4.47,1745,60,31.4
2.63,872,121,35.96
1.2,1186,60,40.0
3.51,1485,194,30.55
2.3,1062,178,36.73
4.44,1513,182,28.49
3.32,1268,77,34.78
3.02,1868,66,31.06
1.43,908,245,39.49
3.52,834,145,35.37
1.32,1713,60,37.23
4.01,1451,118,30.65
3.21,1757,94,30.3
3.84,1117,175,34.22
1.69,2013,83,33.31
4.44,1642,114,25.61
3.67,1336,172,32.68
2.6,1400,150,36.81
1.52,1306,116,39.14
2.98,1154,85,34.86
1.63,1314,152,37.31
3.42,1464,60,31.63
2.4,1351,155,36.85
4.68,903,140,33.43
4.84,1675,122,26.61
1.47,800,88,40.0
2.07,840,156,38.68
1.96,1549,151,35.15
4.48,1316,95,29.98
2.49,1623,60,34.16
2.37,1335,141,35.43
4.72,1840,196,23.47
1.4,1116,123,38.73
4.16,1542,122,30.64
4.4,1823,150,26.27
2.61,1526,97,34.68
1.21,1674,126,40.0
4.29,1506,190,24.93
1.68,1647,149,35.43
2.97,1058,224,33.84
2.53,1485,148,35.17
4.92,1332,170,25.03
3.45,1304,113,35.79
4.56,815,126,29.96
3.46,1637,148,31.21
3.53,1633,200,28.72
2.94,1731,132,34.15
3.09,1267,184,34.65
3.28,1098,202,32.63
4.29,1684,238,26.91
4.28,1218,148,32.74
4.3,1249,160,30.24
3.59,1489,113,28.85
1.75,1107,157,40.0
4.87,1193,165,30.69
2.26,1372,133,34.64
4.62,1777,74,26.74
1.56,1186,122,38.35
4.23,1303,60,29.53
4.95,1850,134,24.26
3.44,1428,86,29.27
1.32,1496,160,37.61
2.5,1590,253,32.24
4.32,1227,187,27.68
1.43,1815,104,37.28
4.68,1561,196,29.01
2.96,1401,155,36.94
3.59,1310,171,32.47
2.32,1118,131,35.66
1.21,1404,191,39.92
1.57,1424,99,39.93
4.93,1285,60,28.32
4.77,1702,110,28.09
4.74,1421,157,26.41
4.35,1584,112,27.73
4.89,1369,181,25.6
2.32,1639,150,33.96
4.95,1376,115,28.55
4.49,1561,143,27.46
1.16,901,60,40.0
3.49,1279,171,31.96
4.26,1368,152,33.6
3.88,1616,99,31.98
3.36,1352,188,33.01
3.06,1259,116,35.67
1.53,1529,148,40.0
3.74,1313,122,32.29
4.93,1780,60,26.86
4.06,1529,123,29.49
4.22,1412,60,29.29
3.13,1172,142,33.79
3.16,1032,144,35.14
3.52,1278,161,32.58
2.32,1568,102,35.73
4.24,1561,88,30.9
3.87,1537,158,31.62
3.06,1339,60,38.27
2.54,1679,149,31.03
2.01,1274,197,37.55
2.04,1081,118,40.0
3.93,1184,195,30.75
1.4,1454,156,37.67
3.81,1414,203,32.85
1.4,1819,167,38.72
2.36,1707,124,34.08
3.71,1072,136,33.33
3.52,1226,109,34.3
1.54,1397,99,37.12
3.48,1023,163,34.81
4.25,1257,135,27.87
4.7,1543,102,26.04
3.75,1531,198,28.55
4.84,1527,163,27.77
3.51,1408,60,32.83
1.59,1815,169,35.66
4.31,999,102,32.72
4.54,1685,191,28.05
3.34,1537,182,31.87
3.07,1460,198,34.13
3.67,1405,173,32.27
3.99,1425,200,27.72
1.69,813,60,40.0
4.66,1306,60,27.09
3.26,1618,186,31.33
1.61,970,72,39.69
2.73,1726,122,33.05
4.81,1538,184,25.38
3.98,1906,267,25.77
1.09,1322,155,40.0
2.45,1404,145,36.25
2.73,1318,60,35.68
1.06,1010,160,40.0
3.24,1461,139,35.55
4.66,1587,186,25.3
4.79,2012,168,23.28
2.36,1367,188,36.91
2.82,1122,86,36.61
3.98,1326,180,33.2
1.05,1280,110,40.0
1.45,1923,84,35.1
3.82,1199,123,31.28
2.76,1690,141,34.42
1.53,1494,150,38.78
2.55,1751,76,31.52
4.18,1292,200,29.44
2.9,1048,180,36.26
1.16,1989,196,35.5
4.04,1547,222,29.95
1.8,1895,114,31.78
3.79,1917,210,26.87
1.43,1238,115,37.35
3.87,1580,155,30.64
2.42,1625,182,35.53
1.66,1412,139,37.55
3.72,1663,180,28.06
4.14,1772,100,28.32
1.5,1190,143,40.0
4.75,1925,172,24.24
3.77,1465,156,29.64
2.31,1374,72,37.66
1.95,1312,112,38.96
1.75,1037,118,39.46
1.64,1865,158,36.86
3.98,1372,227,29.69
1.71,1065,72,37.42
1.02,1674,92,38.1
1.91,1079,219,37.42
3.41,1275,187,30.78
3.78,1432,149,31.94
3.17,800,161,34.76
3.2,1615,172,31.54
1.42,1490,150,33.91
4.26,1070,145,31.11
2.91,2086,208,28.84
3.11,1197,60,36.28
1.27,800,202,40.0
2.92,1307,77,34.05
4.46,1216,213,31.04
3.87,1494,133,28.38
2.13,1198,128,37.91
1.79,1383,79,39.71
4.88,1622,185,25.58
4.58,1358,161,27.34
2.06,1148,136,37.25
4.54,1451,96,30.56
4.99,1272,191,27.83
4.49,1578,129,28.15
3.93,1097,119,33.35
1.84,1292,201,38.12
2.04,1512,169,34.53
3.1,1520,261,30.83
3.16,1683,146,31.73
2.53,1200,248,36.66
2.07,1011,168,39.61
1.4,1911,179,35.04
1.35,1115,146,40.0
3.64,1239,171,34.51
3.31,1545,192,29.95
4.83,1449,142,30.7
2.33,1466,110,37.64
3.79,1122,114,31.14
1.01,1195,157,40.0
4.21,1464,127,28.93
2.01,1624,149,36.44
4.79,1153,176,27.46
1.01,1332,163,40.0
1.16,1353,191,40.0
4.69,1286,150,27.39
4.79,1049,99,29.71
1.57,1525,121,38.99
1.1,1108,167,40.0
4.83,1663,201,23.31
3.09,1167,149,38.47
3.67,1943,107,25.67
3.55,1537,166,28.71
1.51,981,216,40.0
2.46,1380,155,35.39
1.62,1358,94,39.14
4.07,1342,66,31.59
1.92,1881,226,31.4
3.99,1913,147,26.63
3.64,1297,89,33.57
1.92,1856,125,33.69
4.72,1232,242,26.94
1.99,1068,218,40.0
3.16,1690,134,31.47
2.2,1247,92,37.91
4.58,1585,215,25.2
1.42,1521,188,40.0
1.74,1232,146,40.0
4.61,1553,60,26.85
4.39,1861,149,26.4
4.0,1341,178,29.74
4.94,1514,130,27.09
1.43,1213,105,40.0
1.57,1618,83,38.35
1.2,1067,148,40.0
2.85,1493,73,33.33
3.58,1174,164,33.99
3.16,1292,73,31.82
1.05,846,111,40.0
4.47,1092,94,27.88
3.18,948,86,33.85
1.55,1237,78,40.0
1.87,1494,206,38.06
2.79,1130,134,35.46
2.95,1048,76,36.42
3.65,1200,174,32.8
2.65,1479,102,34.18
4.45,992,210,30.01
3.96,1290,115,31.75
3.67,1817,120,28.84
4.54,1290,71,29.94
4.61,1640,210,29.02
4.13,1065,94,32.94
1.99,1852,114,33.61
1.82,800,87,40.0
1.61,800,84,40.0
1.99,1524,162,37.89
4.87,1320,240,26.66
3.68,1411,175,31.16
2.22,1186,60,39.24
3.26,1589,186,29.77
2.8,956,135,35.53
3.27,1715,95,29.94
2.67,2013,156,31.84
3.67,813,103,36.58
4.52,1592,221,27.08
4.57,1959,168,23.78
4.39,1505,84,29.66
2.22,1257,145,36.9
4.98,1126,60,30.89
4.12,1501,112,31.61
4.27,1580,198,27.49
3.06,1088,214,35.08
3.39,1654,114,32.29
4.34,1456,144,28.8
1.58,800,149,40.0
2.78,1552,191,35.9
3.72,802,94,35.0
2.58,1246,200,34.05
4.44,1763,156,28.1
3.66,1485,154,29.74
4.32,1169,156,31.7
4.29,1600,141,28.67
3.36,1255,196,34.46
4.14,1706,96,29.62
4.49,1186,89,29.83
4.97,1255,118,28.49
4.04,1493,242,29.73
3.32,1815,213,32.12
3.75,1430,108,29.39
3.28,1528,129,34.24
1.88,1392,112,38.96
1.39,1807,156,38.3
4.98,876,122,30.46
4.88,945,113,28.38
2.22,1115,128,39.31
3.74,1673,151,32.39
2.76,1531,208,34.21
1.48,1727,119,34.1
4.5,1509,150,28.15
2.37,1717,188,33.14
4.11,1544,99,30.31
4.84,1585,149,26.43
3.93,889,176,33.43
2.09,1806,172,34.07
1.96,1435,215,35.31
3.87,1789,166,25.94
2.4,1776,143,32.78
4.23,1459,161,30.33
4.72,1218,130,28.74
3.91,1730,199,29.28
4.41,1126,136,30.84
4.96,1499,132,28.11
4.45,800,103,32.31
3.38,1505,118,34.88
1.58,1659,168,35.88
2.31,1605,75,36.03
2.2,1283,120,36.98
2.24,1202,120,37.37
3.89,1616,171,27.92
1.78,1773,183,32.66
4.95,818,214,32.59
3.8,1329,105,31.84
1.68,1412,179,34.15
2.74,1159,153,34.8
2.19,1737,137,32.81
1.48,1482,177,39.68
2.89,1414,74,35.42
2.98,1285,114,33.97
4.13,1502,86,31.68
2.01,1296,205,37.21
3.67,1136,184,34.08
3.39,1238,86,34.54
2.8,1152,73,37.89
4.8,1372,170,28.78
4.76,1659,97,25.52
3.34,948,173,35.63
1.36,1444,230,38.08
4.69,2080,97,26.48
2.57,1541,170,32.43
4.35,1461,128,29.69
3.87,1883,219,28.29
1.44,800,63,40.0
4.28,1896,74,28.38
2.29,1153,149,37.06
4.44,1501,211,24.74
4.07,999,127,34.98
3.03,959,101,34.05
1.19,1308,60,38.73
4.66,1431,162,26.98
4.66,1468,71,29.34
4.91,1795,248,25.81
4.68,802,147,33.03
2.9,1320,143,32.66
4.4,906,125,31.82
3.3,1402,97,32.06
3.92,2055,129,28.34
1.41,1797,164,37.63
3.83,1072,188,29.98
1.56,1439,139,38.3
2.03,1226,132,37.95
2.12,1888,146,31.77
2.04,1600,102,37.3
1.38,1031,225,40.0
2.85,1495,110,34.5
4.12,1470,104,31.11
3.98,1492,169,31.83
1.94,1442,120,37.28
2.49,1723,217,32.95
3.5,1613,163,30.4
3.36,1461,92,30.81
1.3,1287,189,37.73
1.59,1383,138,37.24
3.24,1274,212,31.73
1.13,1158,104,39.75
4.76,1045,155,32.24
1.9,1523,181,36.07
2.53,1803,90,32.8
4.03,1524,219,28.46
2.5,1094,142,38.21
2.28,1122,156,37.61
1.06,1626,60,40.0
1.13,1208,86,39.55
1.68,1370,93,40.0
1.1,1303,204,38.1
4.74,978,60,30.92
4.54,1553,98,28.56
4.82,1242,145,28.71
4.7,952,165,32.59
4.58,1436,182,28.73
3.47,1403,160,30.3
3.89,1895,115,25.59
2.34,1380,89,38.61
1.22,800,219,40.0
2.44,1801,179,30.73
3.84,1578,136,29.05
3.32,1180,107,35.23
3.24,2109,136,27.52
4.3,1270,126,29.74
2.09,1838,122,34.38
1.69,1457,102,36.39
3.8,1849,188,29.34
2.76,1187,113,39.31
4.71,1336,120,28.6
2.75,1287,188,32.22
2.26,1032,156,39.19
4.12,1086,215,30.64
2.09,849,60,38.56
3.71,1637,137,27.73
3.14,1675,142,33.18
3.93,1735,165,27.89
4.55,1229,132,29.87
2.05,964,153,39.01
3.97,1071,182,32.89
4.18,1518,104,29.01
4.1,1249,182,29.62
2.73,1026,107,37.05
1.76,1858,147,33.79
4.62,1164,60,33.53
3.4,1841,72,31.83
1.68,1210,106,40.0
3.73,1240,71,32.67
3.29,1367,127,33.5
4.06,1370,195,31.14
4.39,1562,131,30.01
3.08,1492,150,31.25
1.51,1708,240,36.99
3.79,1014,152,33.48
2.53,1106,143,40.0
2.44,1671,92,33.63
1.33,1099,154,40.0
4.25,1355,183,27.87
1.53,1017,107,40.0
3.5,1660,153,29.33
1.47,949,78,40.0
1.38,1275,158,40.0
1.18,1087,123,40.0
3.63,1498,163,31.83
4.87,1510,60,28.51
2.66,1801,138,33.37
4.27,1481,180,27.94
4.14,1170,164,29.32
2.59,1430,129,33.91
2.32,1562,60,33.24
4.16,1652,207,28.3
4.96,1394,88,27.32
3.96,1683,190,27.36
4.61,1377,100,29.24
3.03,1072,88,38.74
3.97,1110,131,33.29
4.94,1343,62,27.7
3.21,1334,78,34.42
2.15,1387,196,35.92
3.91,1874,183,27.2
3.24,1433,93,34.25
1.63,1652,110,37.22
4.65,1534,60,28.44
2.83,1604,119,35.48
1.28,1106,111,40.0
3.17,1510,214,30.8
2.77,1837,145,30.51
4.22,1212,145,31.6
2.88,1227,161,35.32
1.22,1260,113,40.0
3.01,1648,172,30.3
1.7,1162,164,38.43
2.71,1261,151,36.5
4.25,1228,162,30.89
1.65,1120,242,34.58
1.63,988,60,39.23
3.55,1376,80,33.0
2.77,1669,117,32.31
1.02,950,183,40.0
2.76,1450,142,33.47
4.79,2020,175,24.88
2.9,1235,133,34.76
1.45,1511,104,39.42
3.78,1510,173,31.97
2.87,1123,122,36.61
4.08,1422,193,30.22
1.78,974,79,39.81
4.83,1383,209,27.0
1.01,1985,181,36.96
4.52,2072,128,25.76
1.25,958,76,40.0
2.23,1024,111,39.33
2.4,1682,129,35.8
4.43,1385,193,28.48
3.67,1611,130,30.91
1.37,1496,180,37.9
1.07,1192,108,40.0
1.5,1830,130,36.37
3.39,924,134,34.27
2.27,1311,270,35.9
4.95,1346,199,28.47
4.18,1112,170,30.78
1.52,1274,163,40.0
1.08,1464,207,39.4
2.49,1465,62,37.31
3.78,1638,60,29.28
2.81,1993,156,33.47
1.1,1446,122,38.85
1.84,1349,101,37.71
2.13,1354,175,35.52
4.02,991,60,33.09
1.62,1594,191,35.06
2.22,1242,215,34.09
3.2,1857,82,30.88
3.32,1180,227,35.76
1.41,1452,189,39.41
1.15,1747,125,37.36
3.87,1446,130,32.34
2.57,1528,141,33.62
1.01,1623,150,37.0
4.46,1210,161,32.86
1.1,1992,233,37.17
2.43,880,110,40.0
4.71,1361,140,25.22
2.36,1359,150,36.4
3.57,1710,65,33.29
4.97,1323,166,28.62
1.44,995,118,40.0
2.58,1414,164,34.97
2.48,1535,130,35.23
1.38,1193,191,40.0
2.36,1142,60,40.0
2.49,1371,60,37.96
4.85,1021,196,29.91
1.35,1517,124,38.45
4.43,1319,186,29.94
2.7,1243,310,31.48
1.02,1735,123,38.26
2.39,1633,120,35.45
1.71,1054,153,40.0
2.46,1313,65,35.04
4.11,1331,120,30.06
4.55,1692,177,27.44
1.6,1405,121,38.14
4.34,1444,137,33.23
3.62,1388,60,34.02
1.03,1569,179,38.37
2.86,917,211,35.47
4.18,1766,60,26.55
3.57,1455,165,31.68
1.33,1027,190,40.0
3.8,971,148,35.48
1.93,1428,156,37.41
4.6,1327,210,25.55
4.31,1314,232,29.72
1.86,1439,153,38.92
4.82,1633,81,26.24
4.01,1182,127,31.06
3.49,800,148,36.73
4.27,1413,79,31.34
1.18,1410,171,39.16
1.31,1444,95,40.0
3.88,1222,233,30.68
1.49,1424,74,40.0
3.74,1796,264,27.64
2.93,1250,83,34.94
1.65,1246,60,38.87
1.04,1433,200,40.0
2.21,1710,94,35.83
1.32,1154,158,40.0
2.76,1467,150,36.13
