MonthlyCharges,ContractType,CustomerServiceCalls,Churn
70.71,Month-to-month,2,0
87.6,Month-to-month,1,0
129.98,Month-to-month,4,1
37.96,Two year,5,0
74.66,Month-to-month,4,0
56.09,Two year,3,0
80.05,Month-to-month,2,1
74.3,Two year,3,1
58.22,Month-to-month,2,0
81.04,Month-to-month,1,0
49.32,Month-to-month,4,1
88.14,One year,2,0
94.07,Month-to-month,0,0
77.46,Two year,3,1
108.53,Two year,2,1
133.24,Two year,1,0
86.88,Month-to-month,3,1
66.34,One year,0,1
43.7,One year,1,0
85.45,Two year,1,0
87.21,Month-to-month,3,0
56.77,Month-to-month,3,0
88.3,One year,3,0
87.8,Month-to-month,4,0
83.59,Month-to-month,4,0
70.08,Two year,5,0
74.62,Month-to-month,4,1
90.51,One year,3,0
51.44,One year,2,0
49.17,Month-to-month,1,0
71.21,One year,0,0
78.95,Month-to-month,1,0
79.04,Month-to-month,1,0
49.31,Two year,0,0
76.58,Month-to-month,2,0
62.49,Month-to-month,3,1
94.92,One year,0,0
68.08,One year,1,0
109.04,Month-to-month,3,0
103.84,Month-to-month,1,0
78.14,Month-to-month,4,1
61.69,Month-to-month,1,0
67.24,Month-to-month,1,0
57.48,Month-to-month,3,0
39.5,Month-to-month,2,0
72.72,Month-to-month,3,1
96.07,Month-to-month,0,1
171.44,Two year,3,1
82.91,Month-to-month,5,1
58.16,Month-to-month,3,0
125.8,One year,3,1
118.92,Month-to-month,1,0
58.74,Month-to-month,2,0
45.17,Two year,1,0
75.29,Month-to-month,1,0
39.74,Month-to-month,2,0
69.09,Month-to-month,1,0
34.91,Month-to-month,3,0
54.62,Two year,2,0
70.13,Two year,0,0
66.75,One year,1,0
72.11,Two year,2,0
76.51,Month-to-month,3,1
54.33,Month-to-month,5,0
78.58,One year,0,0
102.38,Month-to-month,5,1
82.47,Month-to-month,3,0
92.47,Month-to-month,0,1
58.3,Month-to-month,6,1
70.97,Month-to-month,4,0
113.95,Two year,0,0
42.26,Two year,0,0
88.75,Month-to-month,2,0
69.22,One year,6,1
111.15,One year,0,0
89.83,One year,3,0
88.58,One year,3,0
75.39,Month-to-month,4,0
94.47,Month-to-month,3,0
22.83,Month-to-month,0,0
63.84,Month-to-month,4,0
66.54,Month-to-month,1,0
50.35,Month-to-month,2,1
80.55,Month-to-month,2,1
46.11,Month-to-month,2,0
29.29,Two year,2,0
93.84,Month-to-month,4,0
26.8,Two year,4,0
104.59,Month-to-month,1,0
39.13,Month-to-month,1,0
61.12,Month-to-month,1,0
47.05,Two year,2,0
79.56,Month-to-month,2,1
92.86,Month-to-month,7,0
52.41,One year,4,1
58.99,Month-to-month,1,0
88.06,Month-to-month,5,0
93.18,Month-to-month,2,0
52.74,One year,1,1
25.56,Two year,1,0
102.99,Month-to-month,0,0
58.29,Two year,3,0
117.5,Month-to-month,0,1
78.94,Month-to-month,0,1
29.76,One year,2,0
73.09,One year,9,1
31.33,One year,4,1
11.36,Month-to-month,2,0
41.75,Month-to-month,3,0
127.54,Month-to-month,2,0
10.0,Two year,1,0
92.57,One year,1,0
38.65,Month-to-month,2,1
99.08,Two year,2,0
92.01,Two year,5,1
133.42,Month-to-month,4,1
113.01,Month-to-month,1,0
76.29,Month-to-month,1,0
70.76,Month-to-month,0,0
50.57,Month-to-month,3,0
30.48,Month-to-month,3,1
120.41,Month-to-month,2,1
75.06,Month-to-month,1,0
50.27,Month-to-month,2,0
13.63,Month-to-month,3,0
68.04,Month-to-month,3,1
111.67,One year,1,0
40.91,Two year,2,0
22.04,Month-to-month,2,0
69.99,Month-to-month,2,0
63.75,Month-to-month,2,0
10.0,One year,2,0
62.65,Two year,0,0
81.21,Month-to-month,0,1
55.83,Month-to-month,5,1
78.47,Month-to-month,2,0
78.15,Month-to-month,5,1
46.85,Month-to-month,2,0
31.52,One year,3,0
79.55,One year,2,0
13.29,Month-to-month,2,1
50.04,Month-to-month,2,0
63.01,Month-to-month,1,0
62.58,Month-to-month,3,0
38.83,One year,2,1
70.79,Month-to-month,1,0
11.08,One year,3,0
10.0,Month-to-month,1,0
45.55,Month-to-month,2,0
53.61,Month-to-month,1,0
117.69,Month-to-month,2,0
10.0,Month-to-month,1,1
63.27,One year,4,1
96.38,Month-to-month,1,0
82.66,Month-to-month,2,0
78.47,Month-to-month,2,0
43.75,Month-to-month,1,0
53.55,One year,5,0
69.46,One year,0,1
82.34,Month-to-month,0,0
48.36,One year,3,0
89.23,Month-to-month,2,0
75.46,Month-to-month,2,0
72.0,One year,2,0
99.44,Month-to-month,0,0
35.53,Month-to-month,2,1
78.16,One year,1,0
75.75,Month-to-month,3,0
62.47,One year,0,0
19.08,Month-to-month,0,0
132.31,One year,3,0
75.36,Month-to-month,2,0
99.37,Two year,3,0
91.25,Two year,1,0
55.08,One year,4,0
89.08,Month-to-month,4,0
107.52,Month-to-month,5,1
35.21,Month-to-month,4,0
96.86,Month-to-month,4,0
45.94,One year,2,0
77.21,Month-to-month,1,0
21.5,One year,2,1
77.22,Month-to-month,2,0
81.56,Month-to-month,0,0
27.9,One year,5,1
73.74,Month-to-month,4,0
110.72,Two year,2,0
70.51,Month-to-month,1,0
89.92,Two year,0,1
62.61,Month-to-month,0,0
80.71,One year,3,0
79.95,Month-to-month,5,1
70.06,Month-to-month,2,0
52.03,Two year,2,0
96.06,One year,2,1
108.05,Month-to-month,2,1
136.55,Month-to-month,3,0
93.98,One year,1,0
50.49,One year,1,0
124.74,Month-to-month,1,0
142.49,Month-to-month,2,0
22.09,One year,4,0
52.73,One year,0,0
31.97,Month-to-month,0,0
79.37,Month-to-month,0,0
74.55,Two year,2,0
63.16,Month-to-month,1,0
31.59,Month-to-month,4,0
17.19,Month-to-month,3,0
57.27,Month-to-month,2,0
134.62,One year,0,0
117.08,Two year,4,0
119.09,Month-to-month,2,0
10.0,Month-to-month,2,0
75.12,Month-to-month,3,0
142.09,Month-to-month,0,1
48.61,One year,1,0
71.22,Month-to-month,4,0
69.08,Month-to-month,2,0
76.28,Month-to-month,2,0
74.47,Two year,2,0
109.5,One year,2,0
54.42,Month-to-month,2,0
70.57,Month-to-month,1,0
27.09,Month-to-month,3,1
47.77,One year,1,0
72.73,Month-to-month,2,0
83.76,Month-to-month,4,1
78.1,Month-to-month,2,0
72.34,Month-to-month,3,1
40.75,Month-to-month,6,0
66.25,Month-to-month,3,0
75.22,Two year,3,0
81.4,Month-to-month,0,0
93.84,One year,1,0
58.37,Month-to-month,4,0
60.23,Month-to-month,0,0
97.33,One year,0,0
72.51,One year,3,0
55.91,Month-to-month,3,0
47.12,One year,3,0
102.0,Month-to-month,1,1
89.61,Month-to-month,2,0
59.08,Month-to-month,1,1
64.5,Month-to-month,6,0
81.92,Month-to-month,1,1
28.62,One year,8,0
126.54,One year,4,1
31.37,Month-to-month,1,0
110.85,One year,2,1
60.13,Month-to-month,3,0
95.16,Month-to-month,4,1
65.1,Month-to-month,3,0
38.42,Month-to-month,2,0
70.47,One year,0,0
91.47,One year,3,1
101.76,Month-to-month,1,0
85.82,Month-to-month,1,0
57.74,Month-to-month,1,0
44.64,Month-to-month,3,0
34.6,One year,2,1
45.41,Month-to-month,1,0
117.03,Month-to-month,2,1
99.85,One year,0,0
32.49,Month-to-month,1,0
10.0,Two year,0,0
19.18,Month-to-month,1,0
66.35,One year,1,1
104.92,Month-to-month,5,0
94.21,Month-to-month,2,0
72.74,Month-to-month,2,0
30.44,Month-to-month,0,0
75.38,Month-to-month,1,1
72.11,One year,1,0
90.83,One year,3,0
77.33,Month-to-month,1,0
10.0,Month-to-month,0,0
10.0,Month-to-month,0,0
81.35,Month-to-month,2,0
13.4,Month-to-month,4,1
70.66,One year,3,1
10.0,Month-to-month,4,0
89.24,Month-to-month,3,0
111.62,One year,1,0
97.66,Month-to-month,2,1
73.43,Month-to-month,0,0
84.62,Month-to-month,1,1
45.94,Month-to-month,3,1
72.83,Month-to-month,0,0
32.91,Two year,1,0
41.34,One year,0,0
96.44,Month-to-month,3,1
76.03,Month-to-month,1,0
10.0,Two year,2,0
74.86,Two year,2,0
76.33,Month-to-month,1,0
89.3,Month-to-month,1,0
35.34,One year,0,1
65.31,Month-to-month,3,0
102.33,One year,4,1
94.68,Month-to-month,1,0
40.66,One year,3,0
46.05,One year,4,0
74.66,Month-to-month,4,0
73.47,One year,3,1
67.86,Month-to-month,1,0
121.72,One year,3,0
108.21,Month-to-month,1,0
105.68,Month-to-month,1,0
66.89,Month-to-month,2,0
64.96,Month-to-month,5,0
92.29,One year,3,0
65.05,Month-to-month,4,1
66.81,Month-to-month,1,0
46.55,One year,0,0
43.0,Month-to-month,2,0
63.99,Two year,3,0
80.72,Two year,3,1
111.04,Month-to-month,4,0
104.84,Month-to-month,0,0
40.08,Month-to-month,3,0
60.03,One year,2,1
114.35,Month-to-month,5,1
97.29,Two year,1,0
100.46,Month-to-month,2,0
38.91,One year,5,0
77.12,One year,1,0
80.25,Two year,1,0
77.55,Month-to-month,3,1
99.26,Two year,4,0
31.36,Month-to-month,2,0
58.37,Month-to-month,1,0
52.64,One year,0,0
109.68,One year,1,1
82.14,One year,1,0
99.98,Month-to-month,2,1
48.28,Month-to-month,1,0
26.69,Month-to-month,2,0
35.94,Month-to-month,1,0
107.4,Month-to-month,1,0
102.78,Month-to-month,0,0
84.97,Month-to-month,1,0
86.06,Month-to-month,1,0
67.97,One year,1,1
52.42,Two year,3,0
71.91,Two year,4,0
22.06,Month-to-month,6,1
56.51,One year,4,0
149.9,Month-to-month,1,1
67.74,Month-to-month,7,1
66.13,Two year,2,0
82.97,Month-to-month,0,0
46.36,One year,0,0
37.53,Month-to-month,4,0
81.42,One year,3,1
76.78,One year,5,0
57.83,One year,1,1
10.0,Month-to-month,3,0
139.75,One year,3,1
131.45,Month-to-month,3,0
113.56,Month-to-month,4,0
41.57,One year,0,0
41.07,Month-to-month,3,1
57.92,Month-to-month,5,0
46.51,Two year,2,0
10.0,Month-to-month,0,0
57.43,Month-to-month,4,1
68.95,Month-to-month,0,0
30.55,Month-to-month,1,0
75.2,Two year,2,0
73.06,One year,3,0
103.31,Month-to-month,0,0
60.99,Two year,2,1
128.88,Two year,3,0
78.81,Month-to-month,2,0
63.09,Two year,0,0
115.76,Two year,2,0
83.21,Month-to-month,1,0
54.11,Two year,5,1
70.75,One year,0,0
103.03,Month-to-month,2,1
83.46,Month-to-month,0,1
86.86,One year,2,0
103.27,One year,3,0
40.87,Month-to-month,3,0
57.98,One year,5,1
89.73,Month-to-month,2,1
118.28,Month-to-month,4,1
79.13,Month-to-month,1,1
107.95,Month-to-month,1,0
72.59,Two year,3,0
99.21,Month-to-month,0,0
58.09,Two year,1,0
101.6,Month-to-month,2,0
55.09,Month-to-month,4,1
89.28,Month-to-month,4,0
22.87,One year,3,0
49.51,Month-to-month,3,1
89.0,One year,0,0
24.29,Month-to-month,2,0
31.19,Month-to-month,3,1
47.15,Two year,4,0
53.91,Month-to-month,4,0
49.6,Two year,2,0
47.5,Month-to-month,0,1
66.7,Month-to-month,2,0
83.06,One year,3,0
44.53,One year,2,0
103.84,Month-to-month,1,0
52.6,Month-to-month,3,0
83.13,Month-to-month,0,0
39.02,One year,3,0
37.18,Month-to-month,2,0
66.71,Month-to-month,0,0
20.08,Month-to-month,4,0
88.5,Month-to-month,3,1
53.81,Month-to-month,4,0
96.04,Month-to-month,1,0
54.58,One year,3,1
91.7,One year,2,0
52.28,Month-to-month,2,1
101.61,Two year,5,0
82.46,Month-to-month,3,0
77.98,Month-to-month,2,0
104.89,Two year,2,0
118.59,Month-to-month,4,0
112.4,One year,2,0
108.08,Month-to-month,1,0
89.41,Two year,1,0
90.37,Month-to-month,3,0
82.22,One year,3,0
63.51,Month-to-month,2,0
83.99,Month-to-month,1,0
110.24,One year,1,1
77.7,Two year,2,0
65.21,One year,3,0
112.01,Month-to-month,5,1
26.25,Month-to-month,2,0
61.49,Month-to-month,2,0
74.95,Month-to-month,4,0
113.19,Two year,1,0
31.92,Month-to-month,5,1
80.67,Month-to-month,2,0
68.39,Two year,1,0
51.39,Month-to-month,1,0
23.33,One year,1,0
103.21,Month-to-month,3,1
48.26,One year,4,0
122.35,One year,3,0
73.53,Two year,1,0
53.68,Month-to-month,3,0
62.65,One year,1,0
54.06,Two year,2,0
84.53,One year,2,0
77.45,Month-to-month,3,1
68.83,Month-to-month,1,0
107.28,Month-to-month,0,0
48.49,Month-to-month,1,0
52.64,Month-to-month,4,0
81.12,Month-to-month,6,1
75.9,Month-to-month,0,0
108.32,Month-to-month,1,1
49.38,One year,2,0
80.9,Month-to-month,2,1
123.88,One year,0,1
54.02,Month-to-month,2,0
16.27,Month-to-month,4,0
81.18,One year,1,0
53.92,Month-to-month,2,0
115.73,One year,4,0
60.78,Month-to-month,3,0
60.99,Month-to-month,2,1
106.43,Month-to-month,2,0
85.84,Month-to-month,1,0
24.62,One year,2,1
102.93,One year,3,0
98.13,Month-to-month,5,0
76.14,One year,1,0
56.82,Two year,2,0
33.68,Two year,1,0
91.73,One year,1,0
41.97,Two year,3,0
66.94,Month-to-month,2,1
14.72,Month-to-month,3,0
51.48,One year,6,1
110.05,Month-to-month,1,0
86.91,One year,2,1
103.47,One year,2,0
58.23,Month-to-month,3,0
89.23,Two year,4,0
81.37,Month-to-month,1,0
10.0,One year,1,0
33.62,Two year,3,0
44.79,Month-to-month,2,0
55.66,Month-to-month,2,0
77.91,Month-to-month,2,0
60.62,Month-to-month,2,0
62.45,One year,0,0
56.86,Month-to-month,0,0
10.0,One year,2,1
90.16,Month-to-month,2,0
42.31,One year,2,1
52.8,One year,2,1
122.54,Month-to-month,1,0
72.06,Two year,2,0
79.06,Month-to-month,1,0
24.7,Month-to-month,5,0
51.85,Month-to-month,2,0
20.38,One year,2,0
83.33,One year,1,0
96.41,One year,4,0
77.25,Month-to-month,2,0
76.04,Two year,2,1
115.15,Month-to-month,2,0
44.79,Month-to-month,1,0
86.44,Two year,4,0
51.43,Month-to-month,0,0
125.62,Two year,2,1
68.65,Month-to-month,2,0
36.62,Month-to-month,2,0
93.07,Two year,3,1
113.77,Month-to-month,2,1
83.18,Two year,4,0
64.62,Month-to-month,2,0
92.08,Month-to-month,1,1
111.01,One year,2,0
36.32,Month-to-month,2,1
66.34,Month-to-month,2,0
10.0,Month-to-month,1,0
101.29,Month-to-month,2,0
14.78,Month-to-month,1,0
60.78,Month-to-month,1,1
62.32,One year,4,1
110.37,Month-to-month,0,0
106.74,Month-to-month,3,0
49.44,Month-to-month,1,0
81.86,Month-to-month,4,1
78.12,Two year,1,0
56.31,Month-to-month,1,0
52.59,Two year,3,0
72.8,Two year,1,0
52.92,One year,1,0
45.7,Month-to-month,1,0
62.33,Month-to-month,3,0
67.43,One year,2,0
108.03,Month-to-month,2,1
119.15,One year,1,1
40.67,Month-to-month,0,0
66.33,Month-to-month,5,0
45.92,Month-to-month,3,0
10.0,Month-to-month,1,0
39.21,One year,1,0
30.33,Two year,2,0
26.57,Month-to-month,1,0
48.41,Two year,3,0
27.5,Month-to-month,4,1
60.68,Month-to-month,3,0
75.03,One year,4,1
50.47,Two year,3,0
29.65,Month-to-month,2,1
77.25,Two year,1,0
107.38,Two year,2,0
58.79,Month-to-month,1,1
46.72,Month-to-month,4,0
95.23,Two year,3,0
68.79,One year,2,0
98.62,One year,3,0
65.77,Month-to-month,2,0
26.33,Month-to-month,1,1
104.05,Month-to-month,1,0
30.9,Two year,2,0
93.86,Month-to-month,2,0
66.4,Month-to-month,0,0
138.25,Month-to-month,4,0
54.51,Two year,1,0
44.6,Two year,2,0
64.46,Month-to-month,1,0
80.1,Month-to-month,2,0
70.57,One year,5,1
18.05,Month-to-month,0,0
118.84,Month-to-month,3,1
93.44,One year,2,1
76.49,One year,3,0
64.2,Month-to-month,4,0
85.98,Month-to-month,2,0
43.03,Month-to-month,3,0
64.02,One year,6,0
103.9,Month-to-month,4,0
81.58,One year,2,0
40.15,Two year,2,0
99.01,One year,1,1
47.23,One year,2,0
75.67,Month-to-month,1,0
74.43,Month-to-month,3,0
79.38,Two year,3,0
99.07,Month-to-month,5,0
22.47,Month-to-month,2,0
45.67,Month-to-month,0,1
38.65,Month-to-month,4,1
37.33,Month-to-month,1,0
12.09,Month-to-month,1,0
79.53,Month-to-month,1,1
10.0,Month-to-month,4,0
44.58,Month-to-month,4,0
94.38,Month-to-month,2,1
124.26,Month-to-month,0,0
127.09,One year,4,1
98.9,Month-to-month,3,0
27.2,Month-to-month,7,0
75.76,Two year,1,0
76.38,One year,1,0
10.0,One year,1,0
22.54,Month-to-month,1,0
140.74,Month-to-month,3,1
14.54,Two year,0,0
71.48,One year,3,1
143.78,Month-to-month,1,0
55.0,Month-to-month,0,1
120.57,Month-to-month,1,1
64.18,Two year,3,1
33.79,One year,2,0
75.14,Month-to-month,2,0
36.6,One year,1,0
65.21,Two year,1,0
60.0,One year,2,0
102.61,Month-to-month,4,0
72.05,One year,3,1
95.67,Two year,2,0
72.92,Month-to-month,2,0
85.53,Month-to-month,0,1
65.95,Month-to-month,5,1
49.44,One year,1,0
81.96,Month-to-month,4,1
69.15,Month-to-month,3,1
69.47,Month-to-month,4,0
89.76,Month-to-month,1,0
44.85,One year,3,0
34.49,One year,3,0
23.14,Month-to-month,2,0
51.62,One year,1,1
42.88,Month-to-month,2,0
58.73,Month-to-month,2,0
23.72,Month-to-month,2,0
72.18,Month-to-month,1,0
63.4,Month-to-month,2,0
94.85,Month-to-month,3,0
126.13,Month-to-month,1,0
110.56,One year,1,0
27.23,Month-to-month,4,1
15.69,Month-to-month,2,0
49.7,Two year,0,0
65.95,One year,3,0
79.5,Month-to-month,6,1
67.89,One year,2,0
59.22,Month-to-month,3,1
56.53,Month-to-month,6,1
82.39,Two year,0,0
52.7,Month-to-month,2,0
40.29,Month-to-month,4,0
66.18,Month-to-month,5,0
101.78,Month-to-month,1,0
75.38,Month-to-month,3,0
85.87,Month-to-month,1,1
64.05,Month-to-month,2,1
58.82,Month-to-month,1,0
62.88,One year,7,1
134.17,Month-to-month,2,1
91.25,Month-to-month,3,0
137.89,Month-to-month,3,1
112.46,Two year,2,0
116.88,Month-to-month,3,0
97.82,Month-to-month,2,1
73.24,Month-to-month,1,0
79.67,Month-to-month,1,0
92.63,Month-to-month,5,1
32.0,One year,4,0
56.4,Month-to-month,0,0
13.4,Month-to-month,4,0
57.28,Month-to-month,4,0
91.12,Month-to-month,2,0
90.96,Two year,1,0
47.33,Month-to-month,1,0
38.99,Month-to-month,2,0
65.06,Month-to-month,2,1
80.76,One year,3,0
112.32,One year,1,0
88.19,Month-to-month,0,0
41.43,Two year,2,0
23.34,Month-to-month,1,0
83.24,One year,3,0
84.63,One year,2,1
86.56,Two year,3,0
61.81,Month-to-month,3,0
89.91,Month-to-month,2,1
56.19,Month-to-month,4,0
51.71,Month-to-month,5,0
93.37,Two year,3,0
88.32,Two year,1,0
44.24,Two year,3,1
90.49,Month-to-month,3,0
24.58,Two year,1,0
66.74,Month-to-month,1,1
140.85,Two year,1,0
23.75,Month-to-month,3,0
26.53,Month-to-month,2,0
23.68,Two year,1,0
105.42,Month-to-month,4,0
97.0,Month-to-month,1,0
34.6,Month-to-month,1,0
50.18,One year,6,1
52.18,Month-to-month,2,0
135.73,One year,0,0
92.01,Month-to-month,2,0
31.47,Month-to-month,1,1
61.8,Month-to-month,1,0
104.9,Month-to-month,3,1
90.2,One year,1,0
52.59,Month-to-month,3,0
71.36,Month-to-month,1,0
71.71,One year,1,0
81.42,Month-to-month,4,1
118.58,Month-to-month,1,0
77.18,Month-to-month,2,0
43.42,Two year,1,0
71.9,Month-to-month,1,0
71.25,Month-to-month,2,0
61.56,Month-to-month,1,0
60.7,Month-to-month,3,0
93.39,Two year,2,0
83.91,One year,5,1
35.71,One year,4,0
69.21,Month-to-month,2,1
101.9,Two year,1,0
106.47,Two year,1,1
70.7,One year,3,1
22.2,Month-to-month,2,0
72.51,One year,2,0
92.56,Month-to-month,2,1
65.64,Two year,2,0
98.07,Month-to-month,2,0
52.89,Month-to-month,0,0
74.61,One year,2,0
95.53,One year,2,0
79.17,One year,0,1
93.09,Two year,1,0
10.0,Two year,1,0
27.31,One year,2,0
90.72,One year,2,0
76.67,Month-to-month,4,0
17.42,Month-to-month,1,0
85.03,Month-to-month,4,0
64.76,Month-to-month,3,0
47.37,Month-to-month,1,0
71.5,Month-to-month,4,0
69.96,One year,0,1
37.85,Month-to-month,1,0
39.05,Month-to-month,2,0
77.55,Two year,1,0
15.75,One year,5,0
87.02,Two year,4,0
10.0,Month-to-month,3,0
61.19,Month-to-month,3,0
64.13,One year,2,0
44.22,One year,2,0
70.95,One year,5,1
51.81,Month-to-month,5,0
42.13,Month-to-month,1,0
61.47,Month-to-month,2,0
108.79,Month-to-month,4,1
65.32,Month-to-month,4,0
52.4,Month-to-month,2,0
72.82,One year,3,0
67.05,Month-to-month,1,0
59.78,Month-to-month,1,0
105.03,One year,1,1
142.45,Month-to-month,2,0
111.95,One year,1,0
126.25,Two year,3,0
36.43,Month-to-month,5,0
45.39,Month-to-month,0,0
115.28,Month-to-month,1,0
57.47,Month-to-month,2,0
88.77,Month-to-month,2,0
59.72,One year,5,0
87.93,Month-to-month,4,0
72.55,Month-to-month,4,0
33.67,Month-to-month,1,0
68.96,Month-to-month,3,0
28.25,Month-to-month,1,0
98.88,One year,1,1
82.57,Two year,3,0
65.91,One year,3,0
72.59,Two year,1,0
73.04,One year,4,0
75.95,Two year,2,0
13.11,Month-to-month,4,1
59.07,Two year,0,0
35.31,Two year,3,0
51.11,Month-to-month,1,0
90.5,Month-to-month,5,1
133.48,Month-to-month,3,1
58.13,Month-to-month,1,1
73.99,Month-to-month,0,0
98.98,One year,3,0
103.72,Month-to-month,3,0
60.08,Month-to-month,3,1
99.76,One year,4,0
107.08,One year,2,1
99.77,One year,0,1
37.28,Month-to-month,4,0
64.94,Month-to-month,3,1
73.18,Month-to-month,0,0
89.29,Month-to-month,2,0
84.79,Month-to-month,5,1
88.44,One year,3,1
57.88,Month-to-month,1,0
10.0,Month-to-month,1,0
61.62,One year,1,0
79.23,Month-to-month,1,1
136.78,Two year,2,1
75.62,Month-to-month,3,0
47.41,Month-to-month,4,0
119.57,Month-to-month,2,0
80.3,One year,3,0
121.08,Month-to-month,3,1
69.64,Two year,2,0
99.2,Month-to-month,0,0
71.85,Two year,1,0
93.06,Month-to-month,1,0
74.62,Month-to-month,1,0
28.33,Month-to-month,2,1
98.2,One year,2,0
54.37,Month-to-month,6,0
79.68,One year,0,0
102.03,Two year,1,0
25.08,One year,2,0
95.02,Month-to-month,0,0
93.44,Two year,1,0
81.24,Month-to-month,1,0
86.66,Month-to-month,3,1
75.06,One year,0,0
52.52,Two year,0,0
35.74,Month-to-month,1,0
116.35,Month-to-month,1,0
81.06,Two year,1,0
49.59,Month-to-month,4,1
98.66,One year,4,0
72.12,Two year,1,0
93.4,Two year,1,0
61.65,Month-to-month,1,0
68.82,Two year,1,1
13.84,Month-to-month,3,0
38.84,Month-to-month,2,0
77.34,Month-to-month,3,1
40.74,Month-to-month,2,0
52.63,Month-to-month,4,0
67.57,Month-to-month,3,0
59.67,One year,2,0
76.95,One year,2,0
78.62,Month-to-month,2,1
91.61,Month-to-month,3,0
105.37,Month-to-month,0,0
78.45,Month-to-month,3,0
80.53,Month-to-month,1,1
96.02,Two year,4,0
56.28,Two year,3,1
23.47,One year,7,1
66.05,One year,1,0
84.01,Month-to-month,2,0
48.26,Month-to-month,1,0
24.08,Month-to-month,2,0
22.17,One year,1,0
89.39,One year,1,1
106.62,One year,6,0
137.38,Two year,1,0
96.52,Two year,2,0
76.96,One year,2,1
69.0,Month-to-month,0,0
49.06,Month-to-month,4,0
89.29,Two year,7,1
76.92,One year,3,0
103.54,Month-to-month,4,0
33.6,Two year,3,0
66.92,Month-to-month,1,0
47.09,One year,1,0
141.33,Two year,1,0
96.91,Month-to-month,1,1
61.52,Month-to-month,0,0
60.15,One year,1,0
62.94,One year,2,0
106.91,One year,2,0
74.63,One year,1,0
54.44,Two year,2,0
72.75,Month-to-month,0,0
46.62,One year,2,0
40.69,Month-to-month,2,0
57.02,Month-to-month,0,0
67.27,One year,2,0
26.22,Month-to-month,5,1
62.88,Month-to-month,0,0
72.22,Month-to-month,4,0
103.47,Month-to-month,5,0
143.54,Month-to-month,1,0
53.13,Two year,1,0
108.25,Month-to-month,2,0
54.13,Month-to-month,1,0
108.29,Month-to-month,2,0
65.46,Month-to-month,4,0
87.83,One year,0,1
99.0,Month-to-month,0,1
47.24,Month-to-month,1,0
41.68,Month-to-month,2,0
39.91,Month-to-month,6,0
27.33,Month-to-month,3,0
151.51,One year,1,1
