Area_sqft,Bedrooms,AgeYears,Price_USD
1134.9,3,45,243154
1077.9,3,47,217513
2517.4,6,4,482806
540.0,1,15,99728
1450.3,6,49,316283
2249.6,4,20,447446
770.6,5,39,203108
1235.8,4,25,243777
1873.1,3,23,337653
923.2,5,15,261648
1612.5,6,31,359112
1108.5,2,2,242098
2066.5,1,49,266252
2050.4,3,39,397155
1248.2,6,10,322933
300.0,1,31,70890
1696.2,2,48,297638
1924.4,5,3,435881
1700.1,3,9,355188
1642.9,4,26,314179
1583.0,1,49,209220
1310.0,5,3,328602
1119.1,3,0,276279
1479.0,4,21,319652
1353.1,2,36,197026
1766.3,1,33,324224
1071.7,2,1,214176
1260.2,2,22,253310
1489.1,4,23,271580
1108.1,2,25,238950
822.3,6,0,288097
1737.4,2,22,299168
859.4,2,2,217854
1530.8,2,23,279683
1686.3,3,40,322493
2085.8,5,1,434599
2483.8,2,46,386428
2038.9,5,29,443754
1127.6,4,36,254714
1311.6,5,24,274686
1581.2,2,42,271496
1417.4,3,14,300321
1514.2,2,7,308703
2005.7,3,24,409437
1502.7,4,30,318818
1855.7,4,43,334324
934.9,2,25,180860
1660.0,5,4,396880
689.7,4,43,160103
1945.8,4,42,367377
1358.2,1,28,216676
820.2,3,2,200127
1315.6,5,46,280948
1654.5,3,33,311327
883.0,1,46,137885
1044.9,2,6,184664
1262.3,5,17,325306
1815.5,2,11,350733
534.7,1,38,98970
1646.7,5,16,384282
1326.0,5,45,302744
1922.7,4,21,392544
1621.0,1,18,280275
2052.1,2,31,363191
1625.2,2,39,257063
895.1,3,19,197582
1633.4,5,0,340880
1661.7,6,46,333790
1125.8,4,21,282124
1193.4,1,5,228455
353.7,2,32,82586
1766.3,1,36,261877
1370.5,3,18,248592
1175.6,2,8,210728
978.7,2,45,163373
1207.3,3,44,174107
1627.3,1,33,280755
1510.9,4,13,327494
1278.9,4,27,283601
877.5,3,30,205332
1273.6,6,44,300179
1051.1,3,45,210973
1326.6,4,38,272711
1703.6,4,33,363195
1180.6,3,12,234364
2175.0,6,6,483038
1164.9,3,40,206143
649.4,6,5,215058
1320.2,5,26,272676
1148.1,6,26,257802
2955.5,1,10,485359
1211.1,4,13,255584
731.2,3,49,161940
1418.5,3,37,300844
1326.5,2,20,238762
875.5,5,37,234013
1561.8,4,1,359084
1654.8,3,9,331789
1436.5,6,46,326157
1279.9,3,40,211331
1234.3,2,6,247735
1119.5,4,10,277139
823.4,3,23,226316
2068.2,3,20,371911
2496.9,2,26,443186
937.9,4,42,199670
1128.8,3,38,242580
913.3,6,38,234941
1800.8,3,3,355218
943.2,1,22,155801
1714.3,5,38,351901
1592.6,4,35,315982
1331.1,4,35,278510
2011.9,1,40,298904
1242.6,4,15,278438
1401.0,5,41,309212
852.5,1,40,134329
301.4,4,10,124826
1877.0,1,9,304355
1121.8,1,16,220278
1920.4,6,49,394022
1241.5,4,28,296751
1351.0,5,47,285201
1492.7,2,19,270721
1157.3,1,33,202919
673.1,1,50,117035
1007.9,6,17,309332
972.5,6,37,218006
1384.9,6,21,345447
1902.6,4,46,332294
1073.5,5,38,253131
1355.2,2,37,216443
1507.5,3,10,307372
1042.6,3,48,181620
1573.4,2,15,250939
1895.2,1,20,290079
1577.1,6,22,386705
1377.4,3,35,276928
1021.6,3,39,232334
1346.6,4,47,230113
1061.2,2,7,254106
1136.0,1,42,229403
1345.1,4,5,281776
1306.3,6,27,326789
1864.9,6,46,375352
1135.4,2,38,220399
1574.9,6,49,374924
1190.9,3,1,243175
990.1,5,27,225558
1673.0,2,3,308307
1588.5,2,36,347174
1129.9,3,9,264098
300.0,5,9,172792
1904.3,3,14,379985
1749.7,6,44,395600
1919.4,6,17,426008
1943.5,6,44,400270
1406.6,2,30,240428
1212.6,4,7,285674
593.8,2,11,168156
1461.0,4,37,316237
1197.8,1,43,179271
1047.7,6,10,291876
788.6,3,24,160156
936.4,4,22,249353
794.3,2,23,176122
1846.8,2,16,323738
1902.0,2,44,306680
1066.0,3,44,190303
1951.1,5,18,404910
1446.2,6,23,373454
2060.7,2,45,322453
1668.4,1,41,234947
1684.5,2,26,299253
1510.3,3,30,311200
1075.2,4,42,251884
805.9,6,24,271013
1492.2,3,44,263307
1357.1,4,34,299116
2569.8,3,19,462720
1736.5,3,0,340217
1020.0,5,40,246579
1362.0,5,27,324109
1234.2,5,29,298381
1382.3,4,9,316137
809.8,5,44,224720
1808.4,4,39,336949
1222.2,6,3,299425
1694.4,2,44,270143
1128.4,4,21,275123
1221.1,6,38,269277
1667.0,2,49,276054
468.0,1,47,80598
1844.3,1,44,300965
2061.4,5,7,403132
2052.7,1,28,285450
1084.6,5,11,267480
1535.8,4,41,313790
1199.2,1,36,223873
731.2,2,18,146905
1439.9,1,6,239407
744.5,2,45,145588
1669.8,3,26,356377
1768.5,5,36,370716
1981.1,1,34,325681
1630.6,4,32,363155
1213.9,6,10,337737
1315.0,2,8,259190
1455.3,6,20,324860
2058.3,5,48,396801
2063.0,6,41,436114
1362.2,2,46,211694
1842.3,6,18,425628
1167.8,5,18,283538
1596.3,2,35,272219
1242.7,5,2,291194
1509.8,5,48,320091
1030.1,1,41,180382
760.8,3,38,147310
839.2,6,39,250006
1662.4,1,40,280272
898.6,6,27,275017
1246.5,4,16,283767
1800.7,3,50,308654
1904.2,1,8,318955
959.3,4,47,183424
319.8,6,37,150795
1038.4,3,41,202110
1490.2,5,22,314768
1702.0,2,37,293630
869.1,5,35,257199
605.0,6,43,234755
991.5,1,15,170022
1166.4,2,37,245569
2339.4,1,10,410536
1449.4,5,49,289276
1691.9,2,25,308734
1895.1,6,46,392008
1197.7,5,5,259433
1445.2,1,17,222600
1513.8,4,28,323846
1672.8,3,49,265646
1342.1,4,12,332767
1869.8,4,23,387084
1896.6,1,7,337535
1272.5,4,39,233487
1741.6,3,24,347953
1575.1,2,11,311682
2597.8,3,30,468673
1803.3,6,35,406297
1573.8,6,40,383963
1143.8,2,17,208408
934.5,5,14,250022
1637.5,5,34,325776
631.3,1,29,132110
2130.8,4,10,411788
473.3,3,29,106062
936.9,3,30,203036
1850.0,5,8,355966
1384.1,6,50,314055
1482.4,5,1,348975
1090.6,1,33,173282
1342.6,3,30,282481
1707.9,6,16,352160
1025.5,5,27,259106
1282.1,6,14,330030
1402.4,3,48,256064
1278.1,5,22,323723
1737.9,1,30,268792
1606.7,3,17,310503
1352.9,5,10,322078
632.3,4,8,185587
1931.8,6,37,373754
984.3,1,48,184537
2199.2,2,1,378398
1019.8,3,7,217068
1514.4,4,35,259275
1686.2,2,11,310262
1311.5,3,41,252404
1540.4,4,39,329940
1272.9,3,8,262022
2250.1,4,4,444393
1491.0,6,14,377470
1347.6,4,7,329182
1509.9,6,4,375756
1909.5,3,47,326813
1575.7,1,10,297428
1482.5,5,28,349568
754.4,5,12,193915
1919.9,2,9,352784
1557.6,2,14,307015
1199.6,1,12,229782
1547.0,4,23,313255
2025.9,3,31,354506
1721.8,5,48,372429
2285.8,6,35,464791
1793.5,2,3,327963
531.8,3,8,155559
1967.4,2,17,346500
615.6,2,30,130332
2007.9,6,11,460440
1798.3,5,28,381110
2156.0,3,38,385412
1599.3,1,1,280104
1528.8,1,47,248299
1957.4,5,35,372572
870.4,3,22,201536
1418.1,1,11,216432
1296.5,3,45,238520
1206.7,3,16,242810
1143.2,5,43,261507
1471.1,4,45,281370
1723.2,3,18,339432
2069.3,1,1,340961
1271.8,1,5,249160
1234.6,4,31,296497
300.0,5,49,109158
2059.0,2,40,354241
788.9,3,41,165159
1616.2,1,45,270096
1531.7,1,36,224252
1845.7,5,10,417978
1004.2,5,22,250546
1658.4,5,17,355730
2132.8,6,10,452531
1504.6,5,25,308332
1005.7,6,17,298017
739.8,2,42,130425
2070.0,4,23,407029
1202.4,2,31,215381
1291.8,2,32,228943
2537.8,2,7,460132
1815.3,6,5,383273
1915.5,5,24,347242
2138.7,2,36,342920
698.0,4,32,182111
2090.6,5,37,404058
2151.9,5,43,398185
1199.2,6,50,318352
1738.4,5,40,378853
1835.4,6,39,335804
1081.5,5,31,248960
1811.5,4,50,344444
1114.1,1,41,185830
2566.4,6,3,511381
1472.7,3,3,330011
1655.2,1,47,237402
667.6,3,48,146177
1578.2,1,40,248190
1949.0,2,39,331007
997.4,5,28,240703
1165.0,5,33,283047
1080.1,6,18,275874
880.6,2,31,178956
817.1,1,7,150471
1863.2,2,27,350731
830.4,3,3,202230
597.4,2,10,150056
1160.5,6,18,326407
1422.6,5,32,317014
1661.2,6,20,394236
1000.7,4,21,214198
1135.3,3,38,235942
1643.4,2,37,277909
1807.0,6,13,422790
1959.6,1,10,340592
1615.8,3,14,326656
654.0,1,7,151552
1006.2,3,9,249285
1964.3,6,47,360791
2196.9,4,48,380604
1360.5,1,26,227926
1320.9,2,7,234047
949.6,1,50,142662
2039.1,4,26,394041
923.7,3,12,245599
2282.8,2,18,407508
1363.3,5,19,328740
1013.0,4,28,235640
597.6,5,18,165712
1278.3,5,0,302294
1343.2,2,14,222683
1256.5,6,43,310358
1402.3,1,44,222173
2023.5,1,20,336760
1678.5,1,40,274845
1487.7,5,13,328445
1913.8,1,14,294833
987.7,6,15,272471
1721.0,5,42,358693
1712.5,5,49,308459
2074.9,2,48,341831
783.2,2,18,144049
1010.2,2,36,199564
1035.4,5,23,236396
1615.2,2,43,288577
1500.8,5,44,286980
1655.5,3,43,279945
451.9,2,50,106332
2062.5,3,12,381261
1505.8,6,49,292330
1648.7,2,11,317638
1566.6,2,6,252857
1117.5,5,39,257866
1633.1,6,28,409048
1434.3,2,39,250574
1428.3,3,30,268280
1621.9,5,21,350047
1353.9,1,39,195036
787.7,2,32,161005
1318.3,5,24,346923
2131.3,2,26,355382
1151.0,4,24,242220
1442.3,3,9,303632
1775.5,5,18,391811
2353.7,3,6,435330
1284.9,2,37,221955
847.8,2,35,175266
1702.6,1,33,244668
1034.5,1,15,178402
1532.9,2,50,208701
1672.7,6,38,363356
1184.3,3,29,235172
1277.6,6,31,332856
1768.6,1,46,256419
1891.7,6,0,449521
1419.9,4,49,274593
1475.9,3,24,299970
894.2,4,1,253769
1453.1,6,17,350328
1223.8,2,1,253255
1435.4,2,30,244797
2038.2,5,50,414703
893.2,1,32,207274
1928.9,4,30,341173
1487.6,4,3,327110
1387.9,4,14,296208
1009.1,3,13,234891
1525.8,5,22,304027
2377.2,6,41,447671
300.0,4,22,166921
520.0,5,8,225891
1320.4,1,5,207037
1547.2,1,5,312499
1822.8,4,46,326749
1603.4,5,11,373461
663.8,2,16,149597
1677.3,5,25,361835
1322.4,5,27,304906
1798.4,4,41,361329
1077.3,4,44,221602
710.7,2,10,201422
1197.0,4,45,271279
1621.0,1,20,265607
1572.3,4,9,335185
1407.6,6,26,338505
1124.8,2,8,219932
1340.6,5,18,305705
2066.8,4,7,426224
2548.5,4,38,469434
1591.5,5,11,344904
1861.3,4,47,348701
1072.7,3,16,213647
2009.0,1,7,375472
1242.9,3,37,257689
829.9,4,25,208249
1918.5,6,7,431109
1440.3,6,19,362503
2027.2,5,11,409932
1771.9,5,34,363677
817.9,1,19,166787
1483.1,4,5,299580
996.4,2,1,224865
1968.7,3,49,391209
1438.8,6,12,318354
1103.8,2,41,216119
486.4,5,23,155173
1924.8,1,34,278972
1245.8,2,28,221663
1282.2,3,21,271178
1617.7,3,32,313444
1002.0,2,5,208986
716.8,2,20,135164
1486.9,3,6,300400
981.0,4,28,193494
1365.4,4,27,305072
1010.6,1,43,154365
788.3,4,0,245396
661.4,2,37,115158
1445.5,4,33,306180
1893.4,1,29,270428
1840.1,1,45,311993
1411.2,6,39,334292
2041.1,1,17,330328
1159.0,2,14,218917
1768.5,2,37,294376
1178.6,4,48,243347
1073.3,3,16,201327
1764.3,2,35,295035
1594.7,4,10,329997
1683.3,1,34,290652
730.2,4,14,192908
1863.1,1,40,271849
1704.7,3,36,310541
1218.7,1,0,239501
1662.3,2,37,286636
1893.3,4,7,384561
1068.8,1,12,196652
1071.8,4,29,239372
1270.2,2,29,221127
400.4,2,30,85343
1548.5,3,16,305031
1809.9,6,45,386978
1656.5,5,32,349193
1615.7,3,27,269784
1860.6,2,37,333069
1354.9,5,13,290355
692.8,4,21,165701
1458.2,4,24,283601
1985.6,6,6,429468
1562.6,2,16,284329
1232.6,6,41,316643
1752.9,1,34,300582
1573.8,5,46,289507
1302.9,2,31,199738
1453.6,1,2,282874
1257.2,5,9,302835
1676.7,4,16,323131
995.0,5,18,271510
1548.5,1,50,259775
1791.2,2,34,314800
1507.1,3,44,260392
1512.2,6,48,290295
1431.5,6,30,346112
1640.6,6,20,372579
1238.3,5,26,273160
1341.3,2,36,206052
994.6,5,37,249041
1278.5,2,21,228955
498.0,3,5,158995
1412.8,6,19,359939
1677.2,2,22,285363
1369.9,6,32,367251
1814.5,5,29,371755
2000.9,3,48,361807
1392.8,2,34,236143
951.6,6,16,286607
1891.2,6,40,378628
1800.1,6,22,410533
1602.0,2,17,341506
1164.0,6,2,296245
1570.1,3,39,242774
1259.9,5,32,276169
1069.8,4,3,269016
1561.6,3,19,305841
962.1,3,21,204071
1740.1,4,6,382709
1526.7,1,39,233748
1349.8,5,31,320284
1381.3,1,11,235839
917.1,2,34,157423
944.1,4,28,226579
2179.8,5,6,450569
1332.1,5,29,338914
759.2,4,30,203449
1813.3,4,9,375369
939.0,4,43,213767
1659.5,6,38,352266
2063.4,6,27,428027
1302.3,3,36,241057
1921.0,6,40,403803
1730.2,2,25,273812
2108.0,2,25,326555
1661.8,1,21,262382
1162.1,5,11,273169
462.7,4,28,157802
1043.6,4,7,244438
1174.0,5,1,310794
1846.7,2,11,320272
1946.4,2,5,396767
906.8,4,32,209934
1950.3,1,8,338865
1052.0,4,14,238546
1025.0,2,21,193225
777.4,5,27,228288
1552.0,2,8,291309
1136.4,3,40,237962
1990.9,5,6,439105
991.3,5,5,310851
1729.5,6,7,413155
854.5,2,5,189883
1864.3,6,7,410824
1452.7,3,37,259245
1531.8,3,31,281712
1238.7,4,1,294305
1213.2,6,30,326296
1623.5,4,10,347867
2213.8,3,4,408147
927.7,1,22,142541
1246.7,6,41,283473
1124.3,3,49,218745
719.7,5,3,241704
714.0,2,26,170191
1070.4,1,25,204419
1221.8,6,7,302453
2037.2,1,30,312664
1845.2,6,29,415622
1030.8,2,1,239623
1747.8,3,19,331762
1040.3,1,46,196241
1360.5,5,2,350386
1545.7,1,4,287149
2349.5,4,25,444350
1521.0,6,49,299821
734.9,3,32,150969
1734.9,2,34,296151
1911.7,5,48,405670
1799.9,4,2,399892
952.6,6,37,244220
1455.9,3,46,286036
1391.9,3,39,244733
2196.3,2,10,334062
1677.5,2,46,318410
2172.5,4,23,367909
1080.8,6,16,237389
1302.5,4,10,297289
1158.1,5,28,269956
1840.4,5,8,401639
1912.8,2,49,349826
1575.9,5,12,371163
1442.6,1,28,250031
1588.0,3,2,304122
777.9,4,6,206854
1214.9,1,43,204418
1251.1,4,48,245609
1393.9,1,21,253287
1106.6,2,17,221854
1017.8,5,33,247336
680.9,4,12,219981
1594.4,6,14,368087
782.7,1,32,109463
1849.8,6,24,428088
1545.8,3,17,303402
1798.9,5,14,379138
998.7,2,20,196315
2238.7,5,43,414993
2398.9,6,10,549159
1413.5,5,12,301486
1577.0,2,1,307960
1394.2,6,9,351065
1853.3,2,3,356671
1756.7,1,31,276593
601.1,5,14,228753
1028.0,2,34,185338
1576.7,1,21,254852
1748.2,1,37,279331
1467.2,5,42,318448
636.5,1,1,161562
1650.5,1,10,258688
2221.2,6,42,462995
366.7,1,33,93355
1822.7,5,1,412306
2224.4,3,47,379802
1824.6,3,43,314597
1363.7,6,20,343553
1803.6,3,25,340231
1361.0,1,49,180351
1643.9,3,50,309848
1437.5,2,32,241528
1450.1,5,29,306515
1057.2,5,48,266661
1191.5,1,11,218405
2131.1,6,15,449515
1121.1,6,30,281878
519.9,3,33,131889
2981.9,3,16,519006
1203.5,3,8,292197
1279.2,4,29,235198
1219.1,2,46,261425
1407.2,3,1,342185
1058.4,3,17,222972
2070.2,6,41,426537
1310.2,1,8,238878
929.5,1,42,172256
300.0,1,26,72022
1892.7,1,2,335031
1201.7,5,8,322584
1569.1,3,3,279294
981.9,3,14,218019
1442.2,5,12,336418
1387.7,5,19,311554
1814.4,6,28,360830
1474.5,4,7,321518
894.7,5,50,208375
2481.1,1,2,407083
1595.6,2,36,275424
974.8,4,19,202295
1485.1,6,10,354049
1576.0,4,10,319872
1617.8,5,39,310873
1563.5,1,34,262441
1510.4,5,36,297162
1813.0,6,0,428006
1727.5,3,44,326584
1735.9,5,33,356812
600.5,2,5,173061
619.6,6,27,262750
1043.1,5,39,261764
1288.2,4,26,271347
1058.0,4,34,260187
942.9,5,25,207714
1507.5,2,3,335605
1007.2,2,27,196520
318.4,4,37,128874
788.8,6,25,212128
1125.6,6,50,292165
1283.8,6,22,322448
1804.4,1,34,285805
1595.5,1,17,258295
497.7,2,0,121952
2053.7,4,18,383917
1310.3,3,36,220289
1431.1,1,4,260525
1454.6,3,9,327718
1016.3,4,20,249355
1653.5,1,44,241429
523.3,6,25,210043
2003.0,3,3,330005
1484.4,2,38,291357
1563.5,3,28,285928
1637.0,3,22,323215
1201.3,5,13,293680
1972.0,1,39,321229
1073.7,3,46,255865
949.7,4,39,173475
1467.1,5,3,347826
780.0,1,16,154908
1145.2,1,43,174811
1517.3,6,25,337777
1730.8,6,31,398925
1383.2,2,16,258972
993.1,3,23,215552
1248.3,2,3,243814
1099.4,5,18,272327
1356.1,6,43,326220
1120.9,4,43,250100
960.2,4,41,200692
904.2,5,36,225766
572.7,3,4,188081
1886.6,3,11,392830
1722.1,5,33,390582
847.2,2,9,216989
1692.8,6,43,368503
1419.1,3,30,294565
818.6,5,2,253528
927.3,3,27,187722
1332.9,3,19,267292
1733.5,1,45,264920
1667.4,3,12,344012
1157.6,5,50,274560
1606.7,4,24,324742
1326.8,4,9,292285
1069.3,4,7,246169
1832.2,3,11,344479
1470.1,2,1,282599
1629.9,2,2,314458
906.0,1,1,182370
1166.2,5,47,246247
1769.1,3,48,302231
1273.7,1,41,201072
1299.7,5,3,327690
922.5,3,5,209427
1488.6,2,11,250194
914.4,3,36,171083
1564.6,3,31,301278
953.2,3,22,219673
1305.8,2,32,223529
2108.8,1,47,303913
1564.6,4,4,308406
1244.1,5,13,274094
1785.6,6,27,383509
1074.4,1,19,159509
956.2,2,23,193261
1235.9,3,1,279819
1894.4,5,11,373073
1869.1,4,10,356676
1176.5,4,41,246816
1272.2,4,37,250017
1589.1,6,49,347994
2492.7,3,46,441777
1293.1,1,15,222855
2022.1,3,31,329459
1512.3,6,10,367186
1784.0,4,38,335405
1856.1,5,18,399650
1479.2,5,26,372575
1387.2,6,45,297902
1306.8,4,29,263159
1557.8,5,39,333207
1934.5,4,7,406872
1995.2,2,38,374682
1944.8,1,22,310679
1190.3,3,46,209330
1144.3,6,15,288789
1027.4,1,11,181535
1469.3,2,32,254850
1819.8,1,44,286164
1145.7,3,5,253486
1317.7,6,46,280271
1691.0,3,29,284813
1255.5,5,35,283153
1314.3,4,43,252497
1901.5,1,20,302302
1410.7,2,45,258215
1075.9,3,46,222705
1443.4,2,37,244595
1595.0,2,1,323784
2527.0,4,29,482530
2083.6,2,14,393677
2836.6,6,4,598435
920.6,6,4,275785
2026.1,1,45,335089
2098.8,6,19,438510
1413.7,4,5,337333
1223.4,3,37,234172
1731.8,4,32,339544
1253.4,5,20,276937
885.2,1,26,136717
762.2,1,28,145084
726.5,1,47,135759
1504.9,5,21,313243
1702.1,5,1,406024
961.4,1,1,212683
1617.6,5,35,347600
1614.5,3,3,343767
1556.0,1,48,229494
1706.0,4,2,330905
1497.0,5,33,312691
1999.8,1,41,335952
1680.7,2,7,336770
835.4,1,4,143455
2228.0,2,50,335241
967.6,2,16,179527
1392.7,6,12,305542
2548.5,3,28,432657
1620.4,4,12,348089
1029.9,2,27,137769
1551.5,4,15,324216
1635.1,2,31,313794
1490.5,3,4,323602
1172.0,2,26,227948
824.1,4,28,208373
875.9,1,25,179055
1049.3,3,14,241282
1982.7,3,34,349726
851.5,3,17,217836
1470.1,2,14,247025
2029.3,1,9,358054
1692.8,4,23,351485
2039.6,6,23,436552
1136.1,2,22,219700
1682.7,1,16,318246
1917.9,2,18,359947
1823.5,2,33,339583
1800.5,3,50,324825
862.4,2,34,190135
1700.2,1,46,272221
1619.5,5,26,344271
1332.4,1,34,233446
1127.8,2,18,214477
1602.7,5,37,359407
955.7,4,27,202579
1205.9,2,44,205776
1824.0,1,21,288269
1868.9,4,18,417739
1616.9,1,21,257786
1193.1,2,27,221352
899.8,6,4,235619
1049.3,2,18,242360
1978.5,3,25,345672
1487.5,1,45,262291
1354.1,3,30,243362
1473.6,2,30,242672
1708.1,1,16,305140
938.0,4,28,192485
1181.1,1,45,194877
1690.7,4,23,325082
1507.9,2,38,304060
1897.8,2,29,362678
1739.0,1,41,298533
1052.6,2,14,258439
300.0,3,21,100941
1491.9,3,26,303756
929.6,6,10,257703
1628.4,1,10,298921
2115.7,3,30,385343
936.7,4,12,211389
1690.9,6,12,388037
1791.6,5,9,388633
1555.6,4,38,309401
1547.5,4,9,365920
465.6,6,26,172815
1429.5,1,24,226782
1396.1,5,6,270323
1872.4,2,2,357783
1832.0,4,37,366608
1170.3,3,16,265403
545.0,3,45,130015
681.8,6,24,213321
2033.9,6,17,412610
1365.2,2,7,275475
749.0,3,6,176068
804.9,1,18,117874
1503.9,2,11,302538
1454.4,4,27,294258
2145.2,2,0,390168
1363.9,4,46,204981
1573.8,4,23,321819
1381.1,6,16,334657
1768.5,5,2,425869
2192.0,4,0,428856
1825.0,1,9,250944
2287.0,1,34,356040
1643.4,5,2,370060
686.3,5,48,215849
1029.2,6,5,294404
1769.4,2,50,281534
1291.4,4,17,282089
1400.8,5,23,375659
1035.4,3,37,221200
2050.0,3,8,380052
2089.1,5,7,453838
1297.0,6,34,288462
1301.3,3,25,244400
1973.9,2,41,316765
1870.7,6,23,369919
666.1,4,28,203260
1705.8,3,16,311345
1623.1,5,17,357486
1484.0,3,50,255498
1005.1,1,17,189053
1014.9,4,45,261659
300.0,3,22,104793
1104.6,6,31,275616
513.2,5,10,167082
1156.6,6,16,299479
1581.0,4,21,284727
874.5,3,38,216723
1999.4,1,41,298062
2280.2,6,27,445090
1506.6,1,28,244538
1673.8,6,2,408168
671.7,2,13,149849
1482.5,4,45,315102
767.7,2,35,142317
624.2,3,43,127229
830.3,4,17,214531
1330.5,5,34,293799
1381.7,1,9,264705
1367.2,6,36,338638
876.3,2,2,184597
1447.8,5,50,268366
1087.1,2,44,205416
1457.9,6,33,310891
1293.8,6,28,314318
588.8,1,40,111961
1094.3,3,1,287436
1644.9,3,9,371492
1777.4,5,25,380446
845.7,6,5,225158
1056.1,5,14,248079
1198.7,2,28,218866
1927.2,5,13,395987
1611.1,6,20,373064
824.0,1,47,133762
1621.4,2,35,254599
1970.9,5,48,395082
1497.4,3,11,281115
1051.2,6,37,276483
1781.7,6,46,414299
